Case ID;Activity;Resource;Complete Timestamp;Variant;Variant index;(case) channel;(case) department;(case) group;(case) responsible;concept:instance;concept:name;lifecycle:transition;org:group;Duration
case-10028;Confirmation of receipt-complete;Resource03;2011/10/25 14:13:10.744;Variant 12;12;Internet;General;Group 8;Resource11;task-43250;Confirmation of receipt;complete;EMPTY;0.0
case-10028;T02 Check confirmation of receipt-complete;Resource03;2011/10/25 14:13:31.837;Variant 12;12;Internet;General;Group 8;Resource11;task-44467;T02 Check confirmation of receipt;complete;Group 4;21.093
case-10028;T04 Determine confirmation of receipt-complete;Resource03;2011/10/25 14:13:49.542;Variant 12;12;Internet;General;Group 8;Resource11;task-44469;T04 Determine confirmation of receipt;complete;Group 3;17.705
case-10028;T05 Print and send confirmation of receipt-complete;Resource03;2011/10/25 14:14:24.249;Variant 12;12;Internet;General;Group 8;Resource11;task-44470;T05 Print and send confirmation of receipt;complete;Group 2;34.707
case-10028;T06 Determine necessity of stop advice-complete;Resource03;2011/10/25 14:22:15.239;Variant 12;12;Internet;General;Group 8;Resource11;task-44468;T06 Determine necessity of stop advice;complete;Group 1;470.99
case-10028;T10 Determine necessity to stop indication-complete;Resource03;2011/10/25 14:23:06.272;Variant 12;12;Internet;General;Group 8;Resource11;task-44471;T10 Determine necessity to stop indication;complete;Group 1;51.033
case-10028;T16 Report reasons to hold request-complete;Resource03;2011/10/25 14:23:58.755;Variant 12;12;Internet;General;Group 8;Resource11;task-44472;T16 Report reasons to hold request;complete;Group 1;52.483
case-10028;T17 Check report Y to stop indication-complete;Resource03;2011/10/25 14:24:22.922;Variant 12;12;Internet;General;Group 8;Resource11;task-44473;T17 Check report Y to stop indication;complete;Group 4;24.167
case-10028;T19 Determine report Y to stop indication-complete;Resource03;2011/10/25 14:24:55.079;Variant 12;12;Internet;General;Group 8;Resource11;task-44474;T19 Determine report Y to stop indication;complete;Group 3;32.157
case-10028;T20 Print report Y to stop indication-complete;Resource03;2011/10/25 14:25:10.989;Variant 12;12;Internet;General;Group 8;Resource11;task-44475;T20 Print report Y to stop indication;complete;Group 2;15.91
case-10059;Confirmation of receipt-complete;Resource06;2011/10/17 15:31:27.570;Variant 1;1;Internet;General;Group 5;Resource06;task-43463;Confirmation of receipt;complete;EMPTY;0.0
case-10059;T02 Check confirmation of receipt-complete;Resource06;2011/10/17 15:31:51.615;Variant 1;1;Internet;General;Group 5;Resource06;task-43499;T02 Check confirmation of receipt;complete;Group 4;24.045
case-10059;T04 Determine confirmation of receipt-complete;Resource06;2011/10/17 15:32:34.591;Variant 1;1;Internet;General;Group 5;Resource06;task-43501;T04 Determine confirmation of receipt;complete;Group 3;42.976
case-10059;T05 Print and send confirmation of receipt-complete;Resource06;2011/10/17 15:33:42.796;Variant 1;1;Internet;General;Group 5;Resource06;task-43503;T05 Print and send confirmation of receipt;complete;Group 2;68.205
case-10059;T06 Determine necessity of stop advice-complete;Resource06;2011/10/17 15:34:25.518;Variant 1;1;Internet;General;Group 5;Resource06;task-43500;T06 Determine necessity of stop advice;complete;Group 1;42.722
case-10059;T10 Determine necessity to stop indication-complete;Resource06;2011/10/17 15:41:19.472;Variant 1;1;Internet;General;Group 5;Resource06;task-43504;T10 Determine necessity to stop indication;complete;Group 1;413.954
case-10061;Confirmation of receipt-complete;Resource03;2011/10/24 15:00:50.433;Variant 2;2;Internet;General;Group 8;Resource11;task-43657;Confirmation of receipt;complete;EMPTY;0.0
case-10061;T06 Determine necessity of stop advice-complete;Resource03;2011/10/24 15:01:21.907;Variant 2;2;Internet;General;Group 8;Resource11;task-44274;T06 Determine necessity of stop advice;complete;Group 1;31.474
case-10061;T10 Determine necessity to stop indication-complete;Resource03;2011/10/24 15:01:44.536;Variant 2;2;Internet;General;Group 8;Resource11;task-44275;T10 Determine necessity to stop indication;complete;Group 1;22.629
case-10061;T02 Check confirmation of receipt-complete;Resource03;2011/10/24 15:01:59.826;Variant 2;2;Internet;General;Group 8;Resource11;task-44273;T02 Check confirmation of receipt;complete;Group 4;15.29
case-10061;T04 Determine confirmation of receipt-complete;Resource03;2011/10/24 15:02:16.227;Variant 2;2;Internet;General;Group 8;Resource11;task-44277;T04 Determine confirmation of receipt;complete;Group 3;16.401
case-10061;T05 Print and send confirmation of receipt-complete;Resource03;2011/10/24 15:02:32.399;Variant 2;2;Internet;General;Group 8;Resource11;task-44279;T05 Print and send confirmation of receipt;complete;Group 2;16.172
case-10062;Confirmation of receipt-complete;admin2;2011/10/18 13:34:39.087;Variant 3;3;Internet;Customer contact;;admin3;task-43664;Confirmation of receipt;complete;Group 1;0.0
case-10065;Confirmation of receipt-complete;Resource06;2011/10/28 10:31:29.136;Variant 1;1;Internet;General;Group 5;Resource06;task-43698;Confirmation of receipt;complete;EMPTY;0.0
case-10065;T02 Check confirmation of receipt-complete;Resource06;2011/10/28 10:31:49.811;Variant 1;1;Internet;General;Group 5;Resource06;task-44947;T02 Check confirmation of receipt;complete;Group 4;20.675
case-10065;T04 Determine confirmation of receipt-complete;Resource06;2011/10/28 10:32:08.374;Variant 1;1;Internet;General;Group 5;Resource06;task-44949;T04 Determine confirmation of receipt;complete;Group 3;18.563
case-10065;T05 Print and send confirmation of receipt-complete;Resource06;2011/10/28 10:32:49.753;Variant 1;1;Internet;General;Group 5;Resource06;task-44950;T05 Print and send confirmation of receipt;complete;Group 2;41.379
case-10065;T06 Determine necessity of stop advice-complete;Resource06;2011/10/28 10:45:06.394;Variant 1;1;Internet;General;Group 5;Resource06;task-44948;T06 Determine necessity of stop advice;complete;Group 1;736.641
case-10065;T10 Determine necessity to stop indication-complete;Resource06;2011/10/28 11:01:50.118;Variant 1;1;Internet;General;Group 5;Resource06;task-44955;T10 Determine necessity to stop indication;complete;Group 1;1003.724
case-10066;Confirmation of receipt-complete;Resource22;2011/11/22 13:46:36.256;Variant 1;1;Internet;General;Group 5;Resource22;task-43721;Confirmation of receipt;complete;EMPTY;0.0
case-10066;T02 Check confirmation of receipt-complete;Resource22;2011/11/22 13:48:39.989;Variant 1;1;Internet;General;Group 5;Resource22;task-47561;T02 Check confirmation of receipt;complete;Group 4;123.733
case-10066;T04 Determine confirmation of receipt-complete;Resource22;2011/11/22 13:49:21.982;Variant 1;1;Internet;General;Group 5;Resource22;task-47565;T04 Determine confirmation of receipt;complete;Group 3;41.993
case-10066;T05 Print and send confirmation of receipt-complete;Resource22;2011/11/22 13:52:51.629;Variant 1;1;Internet;General;Group 5;Resource22;task-47570;T05 Print and send confirmation of receipt;complete;Group 2;209.647
case-10066;T06 Determine necessity of stop advice-complete;Resource22;2011/11/22 13:57:59.101;Variant 1;1;Internet;General;Group 5;Resource22;task-47562;T06 Determine necessity of stop advice;complete;Group 1;307.472
case-10066;T10 Determine necessity to stop indication-complete;Resource22;2011/11/22 13:59:50.916;Variant 1;1;Internet;General;Group 5;Resource22;task-47579;T10 Determine necessity to stop indication;complete;Group 1;111.815
case-10067;Confirmation of receipt-complete;Resource13;2011/11/09 20:39:03.392;Variant 1;1;Internet;General;Group 5;Resource13;task-43787;Confirmation of receipt;complete;EMPTY;0.0
case-10067;T02 Check confirmation of receipt-complete;Resource13;2011/11/09 20:39:34.137;Variant 1;1;Internet;General;Group 5;Resource13;task-46129;T02 Check confirmation of receipt;complete;EMPTY;30.745
case-10067;T04 Determine confirmation of receipt-complete;Resource13;2011/11/09 20:40:02.334;Variant 1;1;Internet;General;Group 5;Resource13;task-46131;T04 Determine confirmation of receipt;complete;EMPTY;28.197
case-10067;T05 Print and send confirmation of receipt-complete;Resource13;2011/11/09 20:40:26.677;Variant 1;1;Internet;General;Group 5;Resource13;task-46132;T05 Print and send confirmation of receipt;complete;EMPTY;24.343
case-10067;T06 Determine necessity of stop advice-complete;Resource13;2011/11/09 20:40:49.698;Variant 1;1;Internet;General;Group 5;Resource13;task-46130;T06 Determine necessity of stop advice;complete;Group 1;23.021
case-10067;T10 Determine necessity to stop indication-complete;Resource13;2011/11/09 20:41:13.745;Variant 1;1;Internet;General;Group 5;Resource13;task-46133;T10 Determine necessity to stop indication;complete;Group 1;24.047
case-10068;Confirmation of receipt-complete;Resource20;2011/10/20 12:39:37.946;Variant 1;1;Internet;General;Group 5;Resource06;task-43788;Confirmation of receipt;complete;EMPTY;0.0
case-10068;T02 Check confirmation of receipt-complete;Resource20;2011/10/20 12:40:07.912;Variant 1;1;Internet;General;Group 5;Resource06;task-43991;T02 Check confirmation of receipt;complete;Group 4;29.966
case-10068;T04 Determine confirmation of receipt-complete;Resource20;2011/10/20 12:40:31.903;Variant 1;1;Internet;General;Group 5;Resource06;task-43993;T04 Determine confirmation of receipt;complete;Group 3;23.991
case-10068;T05 Print and send confirmation of receipt-complete;Resource20;2011/10/20 12:41:02.031;Variant 1;1;Internet;General;Group 5;Resource06;task-43994;T05 Print and send confirmation of receipt;complete;Group 2;30.128
case-10068;T06 Determine necessity of stop advice-complete;Resource20;2011/10/20 12:41:28.600;Variant 1;1;Internet;General;Group 5;Resource06;task-43992;T06 Determine necessity of stop advice;complete;Group 1;26.569
case-10068;T10 Determine necessity to stop indication-complete;Resource20;2011/10/20 12:42:01.990;Variant 1;1;Internet;General;Group 5;Resource06;task-43995;T10 Determine necessity to stop indication;complete;Group 1;33.39
case-10069;Confirmation of receipt-complete;Resource08;2011/11/07 15:10:10.205;Variant 1;1;Internet;General;Group 5;Resource08;task-43792;Confirmation of receipt;complete;EMPTY;0.0
case-10069;T02 Check confirmation of receipt-complete;Resource08;2011/11/07 15:11:51.689;Variant 1;1;Internet;General;Group 5;Resource08;task-45608;T02 Check confirmation of receipt;complete;EMPTY;101.484
case-10069;T04 Determine confirmation of receipt-complete;Resource08;2011/11/07 15:12:53.254;Variant 1;1;Internet;General;Group 5;Resource08;task-45610;T04 Determine confirmation of receipt;complete;EMPTY;61.565
case-10069;T05 Print and send confirmation of receipt-complete;Resource08;2011/11/07 15:13:17.976;Variant 1;1;Internet;General;Group 5;Resource08;task-45611;T05 Print and send confirmation of receipt;complete;EMPTY;24.722
case-10069;T06 Determine necessity of stop advice-complete;Resource08;2011/11/07 15:14:49.848;Variant 1;1;Internet;General;Group 5;Resource08;task-45609;T06 Determine necessity of stop advice;complete;Group 1;91.872
case-10069;T10 Determine necessity to stop indication-complete;Resource08;2011/11/07 15:16:47.427;Variant 1;1;Internet;General;Group 5;Resource08;task-45612;T10 Determine necessity to stop indication;complete;Group 1;117.579
case-10070;Confirmation of receipt-complete;Resource13;2011/11/09 19:43:25.050;Variant 17;17;Internet;General;Group 5;Resource13;task-43793;Confirmation of receipt;complete;EMPTY;0.0
case-10070;T06 Determine necessity of stop advice-complete;Resource13;2011/11/09 19:43:50.463;Variant 17;17;Internet;General;Group 5;Resource13;task-46107;T06 Determine necessity of stop advice;complete;Group 1;25.413
case-10070;T02 Check confirmation of receipt-complete;Resource13;2011/11/09 19:44:27.071;Variant 17;17;Internet;General;Group 5;Resource13;task-46106;T02 Check confirmation of receipt;complete;EMPTY;36.608
case-10070;T04 Determine confirmation of receipt-complete;Resource13;2011/11/09 19:44:58.894;Variant 17;17;Internet;General;Group 5;Resource13;task-46109;T04 Determine confirmation of receipt;complete;EMPTY;31.823
case-10070;T10 Determine necessity to stop indication-complete;Resource13;2011/11/09 19:45:21.385;Variant 17;17;Internet;General;Group 5;Resource13;task-46108;T10 Determine necessity to stop indication;complete;Group 1;22.491
case-10070;T05 Print and send confirmation of receipt-complete;Resource13;2011/11/09 19:48:48.443;Variant 17;17;Internet;General;Group 5;Resource13;task-46110;T05 Print and send confirmation of receipt;complete;Group 2;207.058
case-10071;Confirmation of receipt-complete;Resource21;2011/10/19 09:56:55.204;Variant 8;8;Internet;General;Group 2;Resource21;task-43844;Confirmation of receipt;complete;Group 1;0.0
case-10071;T02 Check confirmation of receipt-complete;Resource21;2011/10/19 09:57:39.722;Variant 8;8;Internet;General;Group 2;Resource21;task-43846;T02 Check confirmation of receipt;complete;Group 4;44.518
case-10071;T04 Determine confirmation of receipt-complete;Resource21;2011/10/19 09:58:15.323;Variant 8;8;Internet;General;Group 2;Resource21;task-43848;T04 Determine confirmation of receipt;complete;Group 3;35.601
case-10071;T05 Print and send confirmation of receipt-complete;Resource21;2011/10/19 09:58:36.018;Variant 8;8;Internet;General;Group 2;Resource21;task-43849;T05 Print and send confirmation of receipt;complete;Group 2;20.695
case-10071;T06 Determine necessity of stop advice-complete;Resource21;2011/10/19 09:58:54.326;Variant 8;8;Internet;General;Group 2;Resource21;task-43847;T06 Determine necessity of stop advice;complete;Group 1;18.308
case-10071;T10 Determine necessity to stop indication-complete;Resource21;2011/10/20 14:06:59.060;Variant 8;8;Internet;General;Group 2;Resource21;task-43850;T10 Determine necessity to stop indication;complete;Group 1;101284.734
case-10071;T11 Create document X request unlicensed-complete;Resource21;2012/01/18 09:48:33.680;Variant 8;8;Internet;General;Group 2;Resource21;task-44022;T11 Create document X request unlicensed;complete;Group 1;7760494.62
case-10071;T12 Check document X request unlicensed-complete;Resource21;2012/01/18 09:49:09.359;Variant 8;8;Internet;General;Group 2;Resource21;task-53047;T12 Check document X request unlicensed;complete;Group 4;35.679
case-10071;T14 Determine document X request unlicensed-complete;Resource21;2012/01/18 09:49:44.753;Variant 8;8;Internet;General;Group 2;Resource21;task-53049;T14 Determine document X request unlicensed;complete;Group 3;35.394
case-10071;T15 Print document X request unlicensed-complete;Resource21;2012/01/18 09:50:57.577;Variant 8;8;Internet;General;Group 2;Resource21;task-53051;T15 Print document X request unlicensed;complete;Group 2;72.824
case-10072;Confirmation of receipt-complete;Resource02;2011/10/31 11:09:14.275;Variant 1;1;Internet;General;;admin1;task-43796;Confirmation of receipt;complete;EMPTY;0.0
case-10072;T02 Check confirmation of receipt-complete;Resource02;2011/10/31 11:10:03.929;Variant 1;1;Internet;General;;admin1;task-45103;T02 Check confirmation of receipt;complete;Group 4;49.654
case-10072;T04 Determine confirmation of receipt-complete;Resource02;2011/10/31 11:10:37.260;Variant 1;1;Internet;General;;admin1;task-45105;T04 Determine confirmation of receipt;complete;Group 3;33.331
case-10072;T05 Print and send confirmation of receipt-complete;Resource02;2011/10/31 11:10:54.423;Variant 1;1;Internet;General;;admin1;task-45106;T05 Print and send confirmation of receipt;complete;Group 2;17.163
case-10072;T06 Determine necessity of stop advice-complete;Resource02;2011/10/31 11:36:38.174;Variant 1;1;Internet;General;;admin1;task-45104;T06 Determine necessity of stop advice;complete;Group 1;1543.751
case-10072;T10 Determine necessity to stop indication-complete;Resource02;2011/10/31 11:37:11.319;Variant 1;1;Internet;General;;admin1;task-45129;T10 Determine necessity to stop indication;complete;Group 1;33.145
case-10075;Confirmation of receipt-complete;admin2;2011/10/20 11:57:52.783;Variant 3;3;Internet;Customer contact;;admin3;task-43984;Confirmation of receipt;complete;Group 1;0.0
case-10087;Confirmation of receipt-complete;Resource03;2011/10/24 15:57:27.372;Variant 1;1;Internet;General;Group 8;Resource11;task-43905;Confirmation of receipt;complete;EMPTY;0.0
case-10087;T02 Check confirmation of receipt-complete;Resource03;2011/10/24 15:57:45.747;Variant 1;1;Internet;General;Group 8;Resource11;task-44298;T02 Check confirmation of receipt;complete;Group 4;18.375
case-10087;T04 Determine confirmation of receipt-complete;Resource03;2011/10/24 15:58:02.043;Variant 1;1;Internet;General;Group 8;Resource11;task-44300;T04 Determine confirmation of receipt;complete;Group 3;16.296
case-10087;T05 Print and send confirmation of receipt-complete;Resource03;2011/10/24 15:58:19.298;Variant 1;1;Internet;General;Group 8;Resource11;task-44301;T05 Print and send confirmation of receipt;complete;Group 2;17.255
case-10087;T06 Determine necessity of stop advice-complete;Resource03;2011/10/24 15:58:34.305;Variant 1;1;Internet;General;Group 8;Resource11;task-44299;T06 Determine necessity of stop advice;complete;Group 1;15.007
case-10087;T10 Determine necessity to stop indication-complete;Resource03;2011/10/24 15:58:55.006;Variant 1;1;Internet;General;Group 8;Resource11;task-44302;T10 Determine necessity to stop indication;complete;Group 1;20.701
case-10090;Confirmation of receipt-complete;Resource03;2011/10/24 16:25:16.886;Variant 1;1;Internet;General;Group 8;Resource01;task-43906;Confirmation of receipt;complete;EMPTY;0.0
case-10090;T02 Check confirmation of receipt-complete;Resource03;2011/10/24 16:25:48.093;Variant 1;1;Internet;General;Group 8;Resource01;task-44319;T02 Check confirmation of receipt;complete;Group 4;31.207
case-10090;T04 Determine confirmation of receipt-complete;Resource03;2011/10/24 16:26:08.810;Variant 1;1;Internet;General;Group 8;Resource01;task-44321;T04 Determine confirmation of receipt;complete;Group 3;20.717
case-10090;T05 Print and send confirmation of receipt-complete;Resource03;2011/10/24 16:26:35.495;Variant 1;1;Internet;General;Group 8;Resource01;task-44322;T05 Print and send confirmation of receipt;complete;Group 2;26.685
case-10090;T06 Determine necessity of stop advice-complete;Resource03;2011/10/24 16:27:22.161;Variant 1;1;Internet;General;Group 8;Resource01;task-44320;T06 Determine necessity of stop advice;complete;Group 1;46.666
case-10090;T10 Determine necessity to stop indication-complete;Resource03;2011/10/24 16:27:44.390;Variant 1;1;Internet;General;Group 8;Resource01;task-44323;T10 Determine necessity to stop indication;complete;Group 1;22.229
case-10094;Confirmation of receipt-complete;Resource03;2011/10/25 15:07:27.732;Variant 1;1;Internet;General;Group 8;Resource11;task-43907;Confirmation of receipt;complete;EMPTY;0.0
case-10094;T02 Check confirmation of receipt-complete;Resource03;2011/10/25 15:07:50.830;Variant 1;1;Internet;General;Group 8;Resource11;task-44511;T02 Check confirmation of receipt;complete;Group 4;23.098
case-10094;T04 Determine confirmation of receipt-complete;Resource03;2011/10/25 15:08:07.876;Variant 1;1;Internet;General;Group 8;Resource11;task-44513;T04 Determine confirmation of receipt;complete;Group 3;17.046
case-10094;T05 Print and send confirmation of receipt-complete;Resource03;2011/10/25 15:08:27.483;Variant 1;1;Internet;General;Group 8;Resource11;task-44514;T05 Print and send confirmation of receipt;complete;Group 2;19.607
case-10094;T06 Determine necessity of stop advice-complete;Resource03;2011/10/25 15:08:48.537;Variant 1;1;Internet;General;Group 8;Resource11;task-44512;T06 Determine necessity of stop advice;complete;Group 1;21.054
case-10094;T10 Determine necessity to stop indication-complete;Resource03;2011/10/25 15:09:15.981;Variant 1;1;Internet;General;Group 8;Resource11;task-44515;T10 Determine necessity to stop indication;complete;Group 1;27.444
case-10095;Confirmation of receipt-complete;admin2;2011/11/14 09:26:07.385;Variant 3;3;Internet;General;Group 5;Resource05;task-44056;Confirmation of receipt;complete;EMPTY;0.0
case-10098;Confirmation of receipt-complete;Resource03;2011/10/25 16:06:58.586;Variant 1;1;Internet;General;Group 8;Resource11;task-44006;Confirmation of receipt;complete;EMPTY;0.0
case-10098;T02 Check confirmation of receipt-complete;Resource03;2011/10/25 16:07:20.077;Variant 1;1;Internet;General;Group 8;Resource11;task-44538;T02 Check confirmation of receipt;complete;Group 4;21.491
case-10098;T04 Determine confirmation of receipt-complete;Resource03;2011/10/25 16:07:48.289;Variant 1;1;Internet;General;Group 8;Resource11;task-44540;T04 Determine confirmation of receipt;complete;Group 3;28.212
case-10098;T05 Print and send confirmation of receipt-complete;Resource03;2011/10/25 16:08:23.484;Variant 1;1;Internet;General;Group 8;Resource11;task-44541;T05 Print and send confirmation of receipt;complete;Group 2;35.195
case-10098;T06 Determine necessity of stop advice-complete;Resource03;2011/10/25 16:08:54.842;Variant 1;1;Internet;General;Group 8;Resource11;task-44539;T06 Determine necessity of stop advice;complete;Group 1;31.358
case-10098;T10 Determine necessity to stop indication-complete;Resource03;2011/10/25 16:09:21.982;Variant 1;1;Internet;General;Group 8;Resource11;task-44542;T10 Determine necessity to stop indication;complete;Group 1;27.14
case-10099;Confirmation of receipt-complete;Resource03;2011/10/26 09:04:38.421;Variant 1;1;Internet;General;Group 8;Resource11;task-44008;Confirmation of receipt;complete;EMPTY;0.0
case-10099;T02 Check confirmation of receipt-complete;Resource03;2011/10/26 09:04:58.466;Variant 1;1;Internet;General;Group 8;Resource11;task-44588;T02 Check confirmation of receipt;complete;Group 4;20.045
case-10099;T04 Determine confirmation of receipt-complete;Resource03;2011/10/26 09:05:15.074;Variant 1;1;Internet;General;Group 8;Resource11;task-44590;T04 Determine confirmation of receipt;complete;Group 3;16.608
case-10099;T05 Print and send confirmation of receipt-complete;Resource03;2011/10/26 09:05:29.235;Variant 1;1;Internet;General;Group 8;Resource11;task-44591;T05 Print and send confirmation of receipt;complete;Group 2;14.161
case-10099;T06 Determine necessity of stop advice-complete;Resource03;2011/10/26 09:05:43.792;Variant 1;1;Internet;General;Group 8;Resource11;task-44589;T06 Determine necessity of stop advice;complete;Group 1;14.557
case-10099;T10 Determine necessity to stop indication-complete;Resource03;2011/10/26 09:07:16.656;Variant 1;1;Internet;General;Group 8;Resource11;task-44592;T10 Determine necessity to stop indication;complete;Group 1;92.864
case-10101;Confirmation of receipt-complete;Resource03;2011/10/26 11:44:51.917;Variant 1;1;Internet;General;Group 8;Resource11;task-44010;Confirmation of receipt;complete;EMPTY;0.0
case-10101;T02 Check confirmation of receipt-complete;Resource03;2011/10/26 11:45:23.672;Variant 1;1;Internet;General;Group 8;Resource11;task-44664;T02 Check confirmation of receipt;complete;Group 4;31.755
case-10101;T04 Determine confirmation of receipt-complete;Resource03;2011/10/26 11:45:54.899;Variant 1;1;Internet;General;Group 8;Resource11;task-44666;T04 Determine confirmation of receipt;complete;Group 3;31.227
case-10101;T05 Print and send confirmation of receipt-complete;Resource03;2011/10/26 11:46:16.939;Variant 1;1;Internet;General;Group 8;Resource11;task-44667;T05 Print and send confirmation of receipt;complete;Group 2;22.04
case-10101;T06 Determine necessity of stop advice-complete;Resource03;2011/10/26 11:46:40.098;Variant 1;1;Internet;General;Group 8;Resource11;task-44665;T06 Determine necessity of stop advice;complete;Group 1;23.159
case-10101;T10 Determine necessity to stop indication-complete;Resource03;2011/10/26 11:47:15.161;Variant 1;1;Internet;General;Group 8;Resource11;task-44668;T10 Determine necessity to stop indication;complete;Group 1;35.063
case-10102;Confirmation of receipt-complete;Resource02;2011/10/20 11:06:16.081;Variant 1;1;Internet;General;Group 5;Resource02;task-43717;Confirmation of receipt;complete;EMPTY;0.0
case-10102;T02 Check confirmation of receipt-complete;Resource02;2011/10/27 13:46:27.098;Variant 1;1;Internet;General;Group 5;Resource02;task-43960;T02 Check confirmation of receipt;complete;EMPTY;614411.017
case-10102;T04 Determine confirmation of receipt-complete;Resource02;2011/10/27 13:46:49.205;Variant 1;1;Internet;General;Group 5;Resource02;task-44912;T04 Determine confirmation of receipt;complete;Group 3;22.107
case-10102;T05 Print and send confirmation of receipt-complete;admin1;2011/10/27 15:11:16.295;Variant 1;1;Internet;General;Group 5;Resource02;task-44913;T05 Print and send confirmation of receipt;complete;Group 2;5067.09
case-10102;T06 Determine necessity of stop advice-complete;Resource02;2011/11/17 08:13:20.068;Variant 1;1;Internet;General;Group 5;Resource02;task-43961;T06 Determine necessity of stop advice;complete;Group 1;1789323.773
case-10102;T10 Determine necessity to stop indication-complete;Resource02;2011/11/17 08:14:21.708;Variant 1;1;Internet;General;Group 5;Resource02;task-46924;T10 Determine necessity to stop indication;complete;Group 1;61.64
case-10103;Confirmation of receipt-complete;Resource02;2011/11/15 07:20:14.205;Variant 1;1;Internet;General;Group 5;Resource02;task-43718;Confirmation of receipt;complete;EMPTY;0.0
case-10103;T02 Check confirmation of receipt-complete;Resource02;2011/11/15 07:20:38.880;Variant 1;1;Internet;General;Group 5;Resource02;task-46638;T02 Check confirmation of receipt;complete;Group 4;24.675
case-10103;T04 Determine confirmation of receipt-complete;Resource02;2011/11/15 07:21:00.327;Variant 1;1;Internet;General;Group 5;Resource02;task-46640;T04 Determine confirmation of receipt;complete;Group 3;21.447
case-10103;T05 Print and send confirmation of receipt-complete;Resource02;2011/11/15 07:21:22.524;Variant 1;1;Internet;General;Group 5;Resource02;task-46641;T05 Print and send confirmation of receipt;complete;Group 2;22.197
case-10103;T06 Determine necessity of stop advice-complete;Resource02;2011/11/15 07:42:16.335;Variant 1;1;Internet;General;Group 5;Resource02;task-46639;T06 Determine necessity of stop advice;complete;Group 1;1253.811
case-10103;T10 Determine necessity to stop indication-complete;Resource02;2011/11/15 07:42:43.828;Variant 1;1;Internet;General;Group 5;Resource02;task-46642;T10 Determine necessity to stop indication;complete;Group 1;27.493
case-10105;Confirmation of receipt-complete;Resource03;2011/10/26 14:45:46.454;Variant 1;1;Internet;General;Group 8;Resource11;task-44050;Confirmation of receipt;complete;EMPTY;0.0
