Case ID;Activity;Resource;Complete Timestamp;Variant;Variant index;concept:name;impact;lifecycle:transition;org:group;org:role;organization country;organization involved;product;resource country;Duration
1-182640781;Accepted-In Progress;Niklas;2011/09/05 09:24:13.000;Variant 37;37;Accepted;Medium;In Progress;Org line A2;A2_2;se;M1 2nd;PROD681;Sweden;32479872.0
1-182640781;Accepted-Assigned;Niklas;2011/11/14 16:10:25.000;Variant 37;37;Accepted;Medium;Assigned;Org line A2;A2_2;se;G167 2nd;PROD681;Sweden;6072372.0
1-182640781;Accepted-In Progress;Niklas;2012/01/03 11:30:35.000;Variant 37;37;Accepted;Medium;In Progress;Org line A2;A2_2;se;G167 2nd;PROD681;Sweden;4303210.0
1-182640781;Completed-Closed;Niklas;2012/01/03 11:31:53.000;Variant 37;37;Completed;Medium;Closed;Org line A2;A2_2;se;G167 2nd;PROD681;Sweden;78.0
1-236817141;Accepted-In Progress;Tomas;2008/06/04 12:02:18.000;Variant 37;37;Accepted;Medium;In Progress;Org line A2;A2_2;cn;G167 2nd;PROD681;Sweden;0.0
1-236817141;Accepted-Wait;Tomas;2009/12/02 14:24:34.000;Variant 37;37;Accepted;Medium;Wait;Org line A2;A2_2;cn;G167 2nd;PROD681;Sweden;47182936.0
1-236817141;Queued-Awaiting Assignment;Tomas;2010/08/25 11:06:45.000;Variant 37;37;Queued;Medium;Awaiting Assignment;Org line A2;A2_2;cn;G167 2nd;PROD681;Sweden;22970531.0
1-236817141;Accepted-In Progress;Tomas;2011/09/03 08:02:11.000;Variant 37;37;Accepted;Medium;In Progress;Org line A2;A2_2;cn;M1 2nd;PROD681;Sweden;32302526.0
1-236817141;Accepted-Assigned;Niklas;2011/11/14 16:09:27.000;Variant 37;37;Accepted;Medium;Assigned;Org line A2;A2_2;cn;G167 2nd;PROD681;Sweden;6250036.0
1-236817141;Accepted-In Progress;Tomas;2012/01/05 14:08:18.000;Variant 37;37;Accepted;Medium;In Progress;Org line A2;A2_2;cn;M1 2nd;PROD681;Sweden;4485531.0
1-236817141;Completed-Closed;Tomas;2012/01/05 14:09:00.000;Variant 37;37;Completed;Medium;Closed;Org line A2;A2_2;cn;M1 2nd;PROD681;Sweden;42.0
1-270427461;Accepted-In Progress;Tomas;2008/11/13 11:01:04.000;Variant 23;23;Accepted;Low;In Progress;Org line A2;A2_2;cn;M1 2nd;PROD753;Sweden;0.0
1-270427461;Accepted-Wait;Tomas;2009/12/02 14:24:35.000;Variant 23;23;Accepted;Low;Wait;Org line A2;A2_2;cn;M1 2nd;PROD753;Sweden;33189811.0
1-270427461;Accepted-In Progress;Tomas;2011/11/14 15:57:27.000;Variant 23;23;Accepted;Low;In Progress;Org line A2;A2_2;cn;M1 2nd;PROD753;Sweden;61522372.0
1-270427461;Accepted-In Progress;Carrie;2012/01/18 10:17:14.000;Variant 23;23;Accepted;Low;In Progress;Org line A2;A2_2;cn;M1 2nd;PROD753;China;5595587.0
1-270427461;Completed-Closed;Carrie;2012/01/18 10:19:21.000;Variant 23;23;Completed;Low;Closed;Org line A2;A2_2;cn;M1 2nd;PROD753;China;127.0
1-310231291;Accepted-In Progress;Mats;2009/06/25 09:47:52.000;Variant 4;4;Accepted;Medium;In Progress;Org line A2;A2_1;se;M18 2nd;PROD38;Sweden;0.0
1-310231291;Accepted-In Progress;Mats;2012/03/28 13:10:36.000;Variant 4;4;Accepted;Medium;In Progress;Org line A2;A2_1;se;M18 2nd;PROD38;Sweden;87016964.0
1-310231291;Completed-Closed;Mats;2012/03/28 13:12:08.000;Variant 4;4;Completed;Medium;Closed;Org line A2;A2_1;se;M18 2nd;PROD38;Sweden;92.0
1-320604521;Accepted-In Progress;Richard;2009/09/07 14:33:24.000;Variant 42;42;Accepted;Low;In Progress;Org line C;C_6;se;G237 3rd;PROD498;Sweden;0.0
1-320604521;Unmatched-Unmatched;Richard;2009/09/14 11:37:50.000;Variant 42;42;Unmatched;Low;Unmatched;Org line C;C_6;se;G237 3rd;PROD498;Sweden;594266.0
1-320604521;Completed-Closed;Richard;2012/04/30 12:21:43.000;Variant 42;42;Completed;Low;Closed;Org line C;C_6;se;G237 3rd;PROD498;Sweden;82860233.0
1-322581861;Accepted-In Progress;Stefan;2009/09/18 12:50:02.000;Variant 42;42;Accepted;Low;In Progress;Org line C;E_3;se;L54 2nd;PROD385;Sweden;0.0
1-322581861;Unmatched-Unmatched;Stefan;2009/11/17 14:07:38.000;Variant 42;42;Unmatched;Low;Unmatched;Org line C;E_3;se;L54 2nd;PROD385;Sweden;5188656.0
1-322581861;Completed-Closed;Stefan;2012/03/13 11:53:35.000;Variant 42;42;Completed;Low;Closed;Org line C;E_3;se;L54 2nd;PROD385;Sweden;73172757.0
1-322980802;Accepted-In Progress;Kerstin;2009/09/21 14:13:43.000;Variant 1;1;Accepted;Medium;In Progress;Org line V2;;se;T2 2nd;PROD631;Sweden;0.0
1-322980802;Completed-Closed;Kerstin;2012/02/07 13:22:11.000;Variant 1;1;Completed;Medium;Closed;Org line V2;;se;T2 2nd;PROD631;Sweden;75078508.0
1-323264491;Accepted-In Progress;Reine;2009/09/22 14:22:05.000;Variant 10;10;Accepted;Low;In Progress;Org line C;C_5;se;N1 3rd;PROD476;Sweden;0.0
1-323264491;Accepted-Assigned;Reine;2009/09/22 14:25:17.000;Variant 10;10;Accepted;Low;Assigned;Org line C;C_5;se;N1 3rd;PROD476;Sweden;192.0
1-323264491;Completed-Closed;Reine;2012/05/24 10:57:49.000;Variant 10;10;Completed;Low;Closed;Org line C;C_5;se;N1 3rd;PROD476;Sweden;84227552.0
1-327329880;Accepted-In Progress;Carrie;2009/10/14 18:12:54.000;Variant 23;23;Accepted;Medium;In Progress;Org line A2;A2_2;cn;M1 2nd;PROD753;China;0.0
1-327329880;Accepted-Wait;Carrie;2009/12/02 14:24:37.000;Variant 23;23;Accepted;Medium;Wait;Org line A2;A2_2;cn;M1 2nd;PROD753;China;4219903.0
1-327329880;Accepted-In Progress;Carrie;2011/09/02 00:22:08.000;Variant 23;23;Accepted;Medium;In Progress;Org line A2;A2_2;cn;M1 2nd;PROD753;China;55159051.0
1-327329880;Accepted-In Progress;Carrie;2012/02/01 09:46:54.000;Variant 23;23;Accepted;Medium;In Progress;Org line A2;A2_2;cn;M1 2nd;PROD753;China;13166686.0
1-327329880;Completed-Closed;Carrie;2012/02/01 09:46:57.000;Variant 23;23;Completed;Medium;Closed;Org line A2;A2_2;cn;M1 2nd;PROD753;China;3.0
1-338946805;Accepted-In Progress;Andre;2009/12/14 14:29:17.000;Variant 4;4;Accepted;High;In Progress;Org line A2;A2_3;se;M21 3rd;PROD708;Sweden;0.0
1-338946805;Accepted-In Progress;Andre;2012/01/10 09:32:43.000;Variant 4;4;Accepted;High;In Progress;Org line A2;A2_3;se;M21 3rd;PROD708;Sweden;65387006.0
1-338946805;Completed-Closed;Andre;2012/01/10 09:33:57.000;Variant 4;4;Completed;High;Closed;Org line A2;A2_3;se;M21 3rd;PROD708;Sweden;74.0
1-339798202;Accepted-In Progress;Minnie;2009/12/16 12:59:24.000;Variant 4;4;Accepted;Medium;In Progress;Org line A2;A2_2;se;G30 2nd;PROD191;INDIA;0.0
1-339798202;Accepted-In Progress;Minnie;2012/03/15 12:21:25.000;Variant 4;4;Accepted;Medium;In Progress;Org line A2;A2_2;se;G30 2nd;PROD191;INDIA;70845721.0
1-339798202;Completed-Closed;Minnie;2012/03/15 12:21:47.000;Variant 4;4;Completed;Medium;Closed;Org line A2;A2_2;se;G30 2nd;PROD191;INDIA;22.0
1-339889001;Accepted-In Progress;Kenny;2009/12/16 20:47:26.000;Variant 4;4;Accepted;High;In Progress;Org line A2;A2_1;se;L28 2nd;PROD577;Sweden;0.0
1-339889001;Accepted-In Progress;Kenny;2012/03/14 13:04:51.000;Variant 4;4;Accepted;High;In Progress;Org line A2;A2_1;se;L28 2nd;PROD577;Sweden;70733845.0
1-339889001;Completed-Closed;Kenny;2012/03/14 13:07:29.000;Variant 4;4;Completed;High;Closed;Org line A2;A2_1;se;L28 2nd;PROD577;Sweden;158.0
1-340984229;Accepted-In Progress;Jüri;2009/12/22 09:09:31.000;Variant 42;42;Accepted;Medium;In Progress;Org line A2;A2_1;se;G345 2nd;PROD541;Sweden;0.0
1-340984229;Unmatched-Unmatched;Jüri;2009/12/22 09:25:22.000;Variant 42;42;Unmatched;Medium;Unmatched;Org line A2;A2_1;se;G345 2nd;PROD541;Sweden;951.0
1-340984229;Completed-Closed;Jüri;2012/02/01 12:38:06.000;Variant 42;42;Completed;Medium;Closed;Org line A2;A2_1;se;G345 2nd;PROD541;Sweden;66625964.0
1-341002175;Accepted-Wait;Jüri;2009/12/22 10:56:03.000;Variant 33;33;Accepted;Low;Wait;Org line A2;A2_1;se;G345 2nd;PROD541;Sweden;0.0
1-341002175;Accepted-In Progress;Jüri;2012/02/01 12:39:50.000;Variant 33;33;Accepted;Low;In Progress;Org line A2;A2_1;se;G345 2nd;PROD541;Sweden;66620627.0
1-341002175;Completed-Closed;Jüri;2012/02/01 12:40:25.000;Variant 33;33;Completed;Low;Closed;Org line A2;A2_1;se;G345 2nd;PROD541;Sweden;35.0
1-342442140;Accepted-In Progress;Lena;2010/01/05 16:42:20.000;Variant 1;1;Accepted;Medium;In Progress;Org line A2;A2_3;se;G354 3rd;PROD708;Sweden;0.0
1-342442140;Completed-Closed;Lena;2012/03/20 16:14:00.000;Variant 1;1;Completed;Medium;Closed;Org line A2;A2_3;se;G354 3rd;PROD708;Sweden;69550300.0
1-345255471;Accepted-In Progress;Mats;2010/01/14 15:02:21.000;Variant 31;31;Accepted;Medium;In Progress;Org line C;E_4;gb;G88 2nd;PROD793;Sweden;0.0
1-345255471;Queued-Awaiting Assignment;Mats;2010/01/15 15:10:22.000;Variant 31;31;Queued;Medium;Awaiting Assignment;Org line C;E_4;gb;G88 2nd;PROD793;Sweden;86881.0
1-345255471;Queued-Awaiting Assignment;Mats;2011/09/23 15:06:05.000;Variant 31;31;Queued;Medium;Awaiting Assignment;Org line C;E_4;gb;G88 2nd;PROD793;Sweden;53222143.0
1-345255471;Accepted-In Progress;Mats;2012/02/08 08:11:21.000;Variant 31;31;Accepted;Medium;In Progress;Org line C;E_4;gb;G88 2nd;PROD793;Sweden;11898316.0
1-345255471;Completed-Closed;Mats;2012/02/08 08:14:29.000;Variant 31;31;Completed;Medium;Closed;Org line C;E_4;gb;G88 2nd;PROD793;Sweden;188.0
1-347461373;Accepted-In Progress;Daniel;2010/01/21 16:42:26.000;Variant 4;4;Accepted;Major;In Progress;Org line A2;A2_3;se;M3 2nd;PROD655;Sweden;0.0
1-347461373;Accepted-In Progress;Daniel;2012/04/11 16:38:17.000;Variant 4;4;Accepted;Major;In Progress;Org line A2;A2_3;se;M3 2nd;PROD655;Sweden;70070151.0
1-347461373;Completed-Closed;Daniel;2012/04/11 16:39:02.000;Variant 4;4;Completed;Major;Closed;Org line A2;A2_3;se;M3 2nd;PROD655;Sweden;45.0
1-347923966;Accepted-In Progress;Roger;2010/01/25 09:19:08.000;Variant 71;71;Accepted;Medium;In Progress;Org line A2;A2_2;se;G357 2nd;PROD46;Sweden;0.0
1-347923966;Accepted-Assigned;Roger;2010/02/08 11:41:12.000;Variant 71;71;Accepted;Medium;Assigned;Org line A2;A2_2;se;G357 2nd;PROD46;Sweden;1218124.0
1-347923966;Accepted-In Progress;Roger;2010/03/03 15:54:09.000;Variant 71;71;Accepted;Medium;In Progress;Org line A2;A2_2;se;G357 2nd;PROD46;Sweden;2002377.0
1-347923966;Accepted-Assigned;Barbara;2010/03/03 15:54:25.000;Variant 71;71;Accepted;Medium;Assigned;Org line A2;A2_2;se;G357 2nd;PROD46;POLAND;16.0
1-347923966;Accepted-In Progress;Barbara;2012/03/28 14:39:46.000;Variant 71;71;Accepted;Medium;In Progress;Org line A2;A2_2;se;G357 2nd;PROD46;POLAND;65313921.0
1-347923966;Completed-Closed;Barbara;2012/03/28 14:39:49.000;Variant 71;71;Completed;Medium;Closed;Org line A2;A2_2;se;G357 2nd;PROD46;POLAND;3.0
1-347924629;Accepted-In Progress;Ann;2010/01/25 07:44:36.000;Variant 14;14;Accepted;Low;In Progress;Org line A2;A2_3;se;G349 3rd;PROD40;Sweden;0.0
1-347924629;Accepted-Assigned;Ann;2011/12/16 10:26:27.000;Variant 14;14;Accepted;Low;Assigned;Org line A2;A2_3;se;G349 3rd;PROD40;Sweden;59625711.0
1-347924629;Accepted-Wait;Ann;2012/03/30 13:09:18.000;Variant 14;14;Accepted;Low;Wait;Org line A2;A2_3;se;G349 3rd;PROD40;Sweden;9081771.0
1-347924629;Completed-Closed;Ann;2012/03/30 13:24:18.000;Variant 14;14;Completed;Low;Closed;Org line A2;A2_3;se;G349 3rd;PROD40;Sweden;900.0
1-349857482;Accepted-In Progress;Anders;2010/01/27 13:58:09.000;Variant 1;1;Accepted;Medium;In Progress;Org line A2;A2_2;se;G341 3rd;PROD246;Sweden;0.0
1-349857482;Completed-Closed;Anders;2012/02/29 12:20:13.000;Variant 1;1;Completed;Medium;Closed;Org line A2;A2_2;se;G341 3rd;PROD246;Sweden;65917324.0
1-351187625;Accepted-In Progress;Daniel;2010/02/02 15:50:20.000;Variant 4;4;Accepted;Major;In Progress;Org line A2;A2_3;se;M3 2nd;PROD655;Sweden;0.0
1-351187625;Accepted-In Progress;Daniel;2012/04/11 16:39:33.000;Variant 4;4;Accepted;Major;In Progress;Org line A2;A2_3;se;M3 2nd;PROD655;Sweden;69036553.0
1-351187625;Completed-Closed;Daniel;2012/04/11 16:40:09.000;Variant 4;4;Completed;Major;Closed;Org line A2;A2_3;se;M3 2nd;PROD655;Sweden;36.0
1-351314317;Accepted-In Progress;Ewa;2010/02/03 09:34:32.000;Variant 2;2;Accepted;Medium;In Progress;Org line A2;A2_2;us;G21 2nd;PROD98;POLAND;0.0
1-351314317;Queued-Awaiting Assignment;Ewa;2010/02/03 09:45:18.000;Variant 2;2;Queued;Medium;Awaiting Assignment;Org line A2;A2_2;us;G21 2nd;PROD98;POLAND;646.0
1-351314317;Accepted-In Progress;Ewa;2010/02/03 10:40:51.000;Variant 2;2;Accepted;Medium;In Progress;Org line A2;A2_2;us;G21 2nd;PROD98;POLAND;3333.0
1-351314317;Accepted-Assigned;Ewa;2010/02/03 10:40:58.000;Variant 2;2;Accepted;Medium;Assigned;Org line A2;A2_2;us;G21 2nd;PROD98;POLAND;7.0
1-351314317;Accepted-In Progress;Ewa;2011/12/20 22:25:19.000;Variant 2;2;Accepted;Medium;In Progress;Org line A2;A2_2;us;G21 2nd;PROD98;POLAND;59226261.0
1-351314317;Completed-Closed;Ewa;2012/01/03 13:13:02.000;Variant 2;2;Completed;Medium;Closed;Org line A2;A2_2;us;G21 2nd;PROD98;POLAND;1176463.0
1-351869391;Accepted-In Progress;Carrie;2010/02/05 10:00:12.000;Variant 4;4;Accepted;Medium;In Progress;Org line A2;A2_2;cn;G4 2nd;PROD753;China;0.0
1-351869391;Accepted-In Progress;Carrie;2012/02/23 14:34:50.000;Variant 4;4;Accepted;Medium;In Progress;Org line A2;A2_2;cn;G4 2nd;PROD753;China;64643678.0
1-351869391;Completed-Closed;Carrie;2012/02/23 14:37:00.000;Variant 4;4;Completed;Medium;Closed;Org line A2;A2_2;cn;G4 2nd;PROD753;China;130.0
1-353818791;Queued-Awaiting Assignment;Martin;2010/02/12 14:00:54.000;Variant 22;22;Queued;Low;Awaiting Assignment;Org line C;C_3;se;G292 3rd;PROD815;Sweden;0.0
1-353818791;Accepted-In Progress;Martin;2010/02/12 14:01:08.000;Variant 22;22;Accepted;Low;In Progress;Org line C;C_3;se;G292 3rd;PROD815;Sweden;14.0
1-353818791;Queued-Awaiting Assignment;Martin;2010/10/28 19:15:39.000;Variant 22;22;Queued;Low;Awaiting Assignment;Org line C;C_3;se;G292 3rd;PROD815;Sweden;22310071.0
1-353818791;Accepted-In Progress;Björn;2010/10/29 17:11:03.000;Variant 22;22;Accepted;Low;In Progress;Org line C;C_3;se;G292 3rd;PROD815;Sweden;78924.0
1-353818791;Completed-Closed;Björn;2012/04/04 15:41:41.000;Variant 22;22;Completed;Low;Closed;Org line C;C_3;se;G292 3rd;PROD815;Sweden;45181838.0
1-354039443;Accepted-In Progress;Carolyn;2010/02/15 07:41:51.000;Variant 20;20;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD98;USA;0.0
1-354039443;Accepted-In Progress;Carolyn;2010/02/15 07:48:52.000;Variant 20;20;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD98;USA;421.0
1-354039443;Accepted-Assigned;Carolyn;2010/02/15 12:10:30.000;Variant 20;20;Accepted;Medium;Assigned;Org line G3;;us;G199 3rd;PROD98;USA;15698.0
1-354039443;Accepted-In Progress;Ewa;2011/12/28 15:05:47.000;Variant 20;20;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD98;POLAND;58848917.0
1-354039443;Completed-Closed;Ewa;2012/01/30 12:29:51.000;Variant 20;20;Completed;Medium;Closed;Org line G3;;us;G199 3rd;PROD98;POLAND;2841844.0
1-354350908;Accepted-Wait;Tomas;2010/02/16 11:03:41.000;Variant 74;74;Accepted;Medium;Wait;Org line A2;A2_2;cn;M1 2nd;PROD753;Sweden;0.0
1-354350908;Accepted-In Progress;Tomas;2011/09/02 00:16:31.000;Variant 74;74;Accepted;Medium;In Progress;Org line A2;A2_2;cn;M1 2nd;PROD753;Sweden;48604370.0
1-354350908;Accepted-In Progress;Carrie;2012/01/20 08:40:03.000;Variant 74;74;Accepted;Medium;In Progress;Org line A2;A2_2;cn;M1 2nd;PROD753;China;12126212.0
1-354350908;Completed-Closed;Carrie;2012/01/20 08:40:20.000;Variant 74;74;Completed;Medium;Closed;Org line A2;A2_2;cn;M1 2nd;PROD753;China;17.0
1-354376900;Accepted-Wait;Tomas;2010/02/16 11:04:37.000;Variant 74;74;Accepted;Medium;Wait;Org line A2;A2_2;cn;M1 2nd;PROD753;Sweden;0.0
1-354376900;Accepted-In Progress;Tomas;2011/09/02 00:16:15.000;Variant 74;74;Accepted;Medium;In Progress;Org line A2;A2_2;cn;M1 2nd;PROD753;Sweden;48604298.0
1-354376900;Accepted-In Progress;Carrie;2012/02/01 10:16:03.000;Variant 74;74;Accepted;Medium;In Progress;Org line A2;A2_2;cn;M1 2nd;PROD753;China;13168788.0
1-354376900;Completed-Closed;Carrie;2012/02/01 10:16:53.000;Variant 74;74;Completed;Medium;Closed;Org line A2;A2_2;cn;M1 2nd;PROD753;China;50.0
1-357087417;Accepted-In Progress;Carolyn;2010/03/01 06:54:12.000;Variant 2;2;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD98;USA;0.0
1-357087417;Queued-Awaiting Assignment;Carolyn;2010/03/01 07:04:33.000;Variant 2;2;Queued;Medium;Awaiting Assignment;Org line G3;;us;G199 3rd;PROD98;USA;621.0
1-357087417;Accepted-In Progress;Naga;2010/03/01 11:53:51.000;Variant 2;2;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD98;Sweden;17358.0
1-357087417;Accepted-Assigned;Carolyn;2010/03/01 12:00:54.000;Variant 2;2;Accepted;Medium;Assigned;Org line G3;;us;G199 3rd;PROD98;USA;423.0
1-357087417;Accepted-In Progress;Ewa;2011/12/28 16:01:17.000;Variant 2;2;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD98;POLAND;57643223.0
1-357087417;Completed-Closed;Ewa;2012/01/30 12:30:21.000;Variant 2;2;Completed;Medium;Closed;Org line G3;;us;G199 3rd;PROD98;POLAND;2838544.0
1-357610411;Accepted-In Progress;Reine;2010/03/02 11:41:18.000;Variant 3;3;Accepted;Low;In Progress;Org line G4;;se;S28 2nd;PROD633;Sweden;0.0
1-357610411;Accepted-Wait;Reine;2010/09/19 09:21:17.000;Variant 3;3;Accepted;Low;Wait;Org line G4;;se;S28 2nd;PROD633;Sweden;17357999.0
1-357610411;Completed-Closed;Reine;2012/02/01 16:42:48.000;Variant 3;3;Completed;Low;Closed;Org line G4;;se;S28 2nd;PROD633;Sweden;43226491.0
1-358776870;Accepted-In Progress;Katarzyna;2010/03/08 09:17:56.000;Variant 3;3;Accepted;Medium;In Progress;Org line A2;A2_2;se;G357 2nd;PROD740;POLAND;0.0
1-358776870;Accepted-Wait;Katarzyna;2010/03/08 09:19:32.000;Variant 3;3;Accepted;Medium;Wait;Org line A2;A2_2;se;G357 2nd;PROD740;POLAND;96.0
1-358776870;Completed-Closed;Katarzyna;2012/03/30 10:59:03.000;Variant 3;3;Completed;Medium;Closed;Org line A2;A2_2;se;G357 2nd;PROD740;POLAND;65065171.0
1-359215498;Accepted-In Progress;Damian;2010/03/09 11:28:51.000;Variant 45;45;Accepted;Medium;In Progress;Org line A2;A2_2;se;G357 2nd;PROD47;POLAND;0.0
1-359215498;Accepted-Assigned;Damian;2011/04/11 09:09:41.000;Variant 45;45;Accepted;Medium;Assigned;Org line A2;A2_2;se;G357 2nd;PROD47;POLAND;34378850.0
1-359215498;Accepted-Assigned;Katarzyna;2011/04/11 09:11:23.000;Variant 45;45;Accepted;Medium;Assigned;Org line A2;A2_2;se;G357 2nd;PROD47;POLAND;102.0
1-359215498;Accepted-Wait;Katarzyna;2011/11/28 08:21:08.000;Variant 45;45;Accepted;Medium;Wait;Org line A2;A2_2;se;G357 2nd;PROD47;POLAND;19955385.0
1-359215498;Completed-Closed;Katarzyna;2012/03/30 11:01:23.000;Variant 45;45;Completed;Medium;Closed;Org line A2;A2_2;se;G357 2nd;PROD47;POLAND;10636815.0
1-359781492;Accepted-In Progress;Eva;2010/03/11 10:02:02.000;Variant 1;1;Accepted;Medium;In Progress;Org line V2;;se;T2 2nd;PROD451;Sweden;0.0
1-359781492;Completed-Closed;Eva;2012/03/15 14:27:03.000;Variant 1;1;Completed;Medium;Closed;Org line V2;;se;T2 2nd;PROD451;Sweden;63519901.0
1-360464815;Accepted-In Progress;Panigrahy;2010/03/15 14:40:16.000;Variant 7;7;Accepted;Medium;In Progress;Org line A2;D_1;in;L50 3rd;PROD611;Sweden;0.0
1-360464815;Accepted-Wait;Panigrahy;2010/04/15 16:32:45.000;Variant 7;7;Accepted;Medium;Wait;Org line A2;D_1;in;L50 3rd;PROD611;Sweden;2685149.0
1-360464815;Accepted-In Progress;Panigrahy;2011/06/09 11:37:15.000;Variant 7;7;Accepted;Medium;In Progress;Org line A2;D_1;in;L50 3rd;PROD611;Sweden;36270270.0
1-360464815;Completed-Closed;Panigrahy;2012/02/21 14:57:48.000;Variant 7;7;Completed;Medium;Closed;Org line A2;D_1;in;L50 3rd;PROD611;Sweden;22216833.0
1-360667704;Accepted-In Progress;Barbara;2010/03/16 08:44:27.000;Variant 3;3;Accepted;Medium;In Progress;Org line A2;A2_2;se;G357 2nd;PROD740;POLAND;0.0
1-360667704;Accepted-Wait;Barbara;2010/06/15 09:42:52.000;Variant 3;3;Accepted;Medium;Wait;Org line A2;A2_2;se;G357 2nd;PROD740;POLAND;7865905.0
1-360667704;Completed-Closed;Barbara;2012/03/30 12:17:27.000;Variant 3;3;Completed;Medium;Closed;Org line A2;A2_2;se;G357 2nd;PROD740;POLAND;56514875.0
1-361368011;Accepted-In Progress;Didier;2010/03/18 11:44:05.000;Variant 4;4;Accepted;Medium;In Progress;Org line C;E_3;us;G67 2nd;PROD151;France;0.0
1-361368011;Accepted-In Progress;Didier;2012/03/19 14:13:30.000;Variant 4;4;Accepted;Medium;In Progress;Org line C;E_3;us;G67 2nd;PROD151;France;63253765.0
1-361368011;Completed-Closed;Didier;2012/03/19 14:15:58.000;Variant 4;4;Completed;Medium;Closed;Org line C;E_3;us;G67 2nd;PROD151;France;148.0
1-363041157;Accepted-In Progress;Lena;2010/03/26 08:24:05.000;Variant 1;1;Accepted;Medium;In Progress;Org line A2;A2_3;se;G354 3rd;PROD708;Sweden;0.0
1-363041157;Completed-Closed;Lena;2012/03/20 16:16:39.000;Variant 1;1;Completed;Medium;Closed;Org line A2;A2_3;se;G354 3rd;PROD708;Sweden;62668354.0
1-363549934;Accepted-In Progress;Carolyn;2010/03/29 11:38:31.000;Variant 2;2;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD98;USA;0.0
1-363549934;Queued-Awaiting Assignment;Carolyn;2010/03/29 11:41:32.000;Variant 2;2;Queued;Medium;Awaiting Assignment;Org line G3;;us;G199 3rd;PROD98;USA;181.0
1-363549934;Accepted-In Progress;Kannan;2010/03/29 13:30:54.000;Variant 2;2;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD98;Sweden;6562.0
1-363549934;Accepted-Assigned;Carolyn;2010/03/29 13:30:58.000;Variant 2;2;Accepted;Medium;Assigned;Org line G3;;us;G199 3rd;PROD98;USA;4.0
1-363549934;Accepted-In Progress;Ewa;2012/01/19 10:09:44.000;Variant 2;2;Accepted;Medium;In Progress;Org line G3;;us;G199 3rd;PROD98;POLAND;57098326.0
1-363549934;Completed-Closed;Ewa;2012/01/19 10:10:41.000;Variant 2;2;Completed;Medium;Closed;Org line G3;;us;G199 3rd;PROD98;POLAND;57.0
