Activity;Case ID;Duration;Event_Nr
Accepted-In Progress;1-351869391;0.0;2
Completed-Closed;1-351869391;2934830.999999997;3
Queued-Awaiting Assignment;1-353818791;2.2514930997683747e-08;1
Accepted-In Progress;1-353818791;45169316.000000015;2
Queued-Awaiting Assignment;1-353818791;42.99999998435122;3
Accepted-In Progress;1-353818791;482.99999997340626;4
Completed-Closed;1-353818791;5593213.000000005;5
Accepted-In Progress;1-354039443;3.501864824612705e-08;1
Accepted-In Progress;1-354039443;2.555520127924224e-08;2
Accepted-Assigned;1-354039443;6250036.000000003;3
Accepted-In Progress;1-354039443;0.0;4
Completed-Closed;1-354039443;7863234.999999995;5
Accepted-In Progress;1-354350908;0.0;1
Accepted-In Progress;1-354350908;22212701.00000002;2
Accepted-In Progress;1-354350908;0.0;3
Completed-Closed;1-354350908;1994473.0000000023;4
Accepted-In Progress;1-354376900;54391002.00000003;1
Accepted-In Progress;1-354376900;0.0;2
Accepted-In Progress;1-354376900;6.547559774348703e-09;3
Completed-Closed;1-354376900;501.000000006643;4
Accepted-In Progress;1-357087417;13780358.00000002;1
Queued-Awaiting Assignment;1-357087417;1134.000000001916;2
Accepted-In Progress;1-357087417;1118.0000000232371;3
Accepted-Assigned;1-357087417;1475192.000000005;4
Accepted-In Progress;1-357087417;70845721.0;5
Completed-Closed;1-357087417;69550299.99999999;6
Accepted-In Progress;1-357610411;82.99999998923012;1
Accepted-Wait;1-357610411;1012.9999999947798;2
Completed-Closed;1-357610411;300.0000000225025;3
Accepted-In Progress;1-358776870;6238.999999994411;1
Accepted-Wait;1-358776870;6.999999999649429;2
Completed-Closed;1-358776870;4755655.999999991;3
Accepted-In Progress;1-359215498;1.6544050546268563e-08;1
Accepted-Assigned;1-359215498;159.99999995879475;2
Accepted-Assigned;1-359215498;107.00000001163981;3
Accepted-Wait;1-359215498;560.9999999635053;4
Completed-Closed;1-359215498;8116.000000004634;5
Accepted-In Progress;1-359781492;432.00000000909483;1
Completed-Closed;1-359781492;4798204.999999983;2
Accepted-In Progress;1-360464815;42956.99999999677;1
Accepted-Wait;1-360464815;420.00000001489605;2
Accepted-In Progress;1-360464815;5.938658607555617e-09;3
Completed-Closed;1-360464815;2304.9999999866595;4
Accepted-In Progress;1-360667704;13930.999999999165;1
Accepted-Wait;1-360667704;17357998.999999996;2
Completed-Closed;1-360667704;10895340.0;3
Accepted-In Progress;1-361368011;0.0;1
Accepted-In Progress;1-361368011;45445.999999991516;2
Completed-Closed;1-361368011;5190282.999999991;3
Accepted-In Progress;1-363041157;1.3955723435804952e-08;1
Completed-Closed;1-363041157;1988283.0000000014;2
Accepted-In Progress;1-363549934;0.0;1
Queued-Awaiting Assignment;1-363549934;25.999999989094885;2
Accepted-In Progress;1-363549934;0.0;3
Accepted-Assigned;1-363549934;120.99999998597333;4
Accepted-In Progress;1-363549934;5.9497908322275405e-09;5
Completed-Closed;1-363549934;30503775.0;6
Accepted-In Progress;1-364458525;41028435.99999998;1
Accepted-In Progress;1-364458525;0.0;2
Accepted-Wait;1-364458525;1399.0000000179496;3
Completed-Closed;1-364458525;13199841.999999998;4
Accepted-In Progress;1-364528467;0.0;1
Accepted-In Progress;1-364528467;1389.9999999928878;2
Queued-Awaiting Assignment;1-364528467;256.9999999782521;3
Accepted-In Progress;1-364528467;6.201461557231081e-09;4
Accepted-Assigned;1-364528467;114.99999998909847;5
Accepted-In Progress;1-364528467;0.0;6
Completed-Closed;1-364528467;62668354.00000001;7
Accepted-In Progress;1-365702595;434008.00000001566;1
Queued-Awaiting Assignment;1-365702595;1133.9999999932418;2
Accepted-In Progress;1-365702595;1.025135104978824e-08;3
Accepted-Assigned;1-365702595;33.99999998931093;4
Accepted-In Progress;1-365702595;54412271.0;5
Completed-Closed;1-365702595;4982404.99999999;6
Accepted-In Progress;1-366462246;2.913676223647399e-09;1
Accepted-In Progress;1-366462246;5783254.999999986;2
Completed-Closed;1-366462246;7863235.000000034;3
Accepted-In Progress;1-366509892;28032226.999999985;1
Queued-Awaiting Assignment;1-366509892;0.0;2
Accepted-In Progress;1-366509892;0.0;3
Accepted-Assigned;1-366509892;5.000000044995234;4
Accepted-In Progress;1-366509892;5537448.000000009;5
Completed-Closed;1-366509892;90.99999998858598;6
Accepted-In Progress;1-366584206;2.99999999504125;1
Queued-Awaiting Assignment;1-366584206;594964.9999999836;2
Accepted-In Progress;1-366584206;0.0;3
Accepted-Assigned;1-366584206;6250035.999999964;4
Accepted-In Progress;1-366584206;11925686.000000015;5
Completed-Closed;1-366584206;49.000000012239745;6
Accepted-In Progress;1-366923538;0.0;1
Accepted-In Progress;1-366923538;1118.0000000125865;2
Queued-Awaiting Assignment;1-366923538;659.000000019236;3
Accepted-In Progress;1-366923538;52854179.99999999;4
Accepted-Assigned;1-366923538;4.00000002813901;5
Accepted-In Progress;1-366923538;7.801152398600765e-09;6
Completed-Closed;1-366923538;615406.0000000041;7
Accepted-In Progress;1-367002597;10556502.999999981;1
Accepted-In Progress;1-367002597;2653099.0000000014;2
Accepted-In Progress;1-367002597;12.999999991895036;3
Completed-Closed;1-367002597;509.0000000000278;4
Accepted-In Progress;1-367648732;2207.9999999994957;1
Queued-Awaiting Assignment;1-367648732;678.0000000184303;2
Accepted-In Progress;1-367648732;0.0;3
Accepted-Assigned;1-367648732;134.0000000076369;4
Accepted-In Progress;1-367648732;1.6464701050518064e-08;5
Completed-Closed;1-367648732;11.000000010200049;6
Accepted-In Progress;1-368929048;0.0;1
Queued-Awaiting Assignment;1-368929048;176.99999989359088;2
Accepted-In Progress;1-368929048;515779.0000000171;3
Accepted-Assigned;1-368929048;6.000000015389202;4
Accepted-In Progress;1-368929048;0.0;5
Completed-Closed;1-368929048;1831338.0000000088;6
Accepted-In Progress;1-369693874;0.0;1
Queued-Awaiting Assignment;1-369693874;41.00000003413718;2
Accepted-In Progress;1-369693874;11987922.000000002;3
Accepted-Assigned;1-369693874;329.00000002066815;4
Accepted-In Progress;1-369693874;4.672202604352488e-09;5
Completed-Closed;1-369693874;23863386.000000015;6
Accepted-In Progress;1-369989135;19890919.000000007;1
Accepted-Assigned;1-369989135;4.999999964086665;2
Accepted-In Progress;1-369989135;7.213942353634834e-09;3
Accepted-Assigned;1-369989135;5.000000012531198;4
Accepted-In Progress;1-369989135;1.4954959177551695e-08;5
Completed-Closed;1-369989135;3699168.000000002;6
Accepted-In Progress;1-370436092;5.369507604658634e-09;1
Queued-Awaiting Assignment;1-370436092;631.9999999935873;2
Accepted-In Progress;1-370436092;13780358.000000002;3
Accepted-In Progress;1-370436092;0.0;4
Accepted-Assigned;1-370436092;33.999999996417365;5
Accepted-In Progress;1-370436092;0.0;6
Completed-Closed;1-370436092;4556.000000008033;7
Accepted-In Progress;1-371498622;5615.999999987363;1
Queued-Awaiting Assignment;1-371498622;189.99999999955227;2
Accepted-In Progress;1-371498622;90271.99999999869;3
Accepted-Assigned;1-371498622;21.99999999419916;4
Accepted-In Progress;1-371498622;59226260.99999999;5
Completed-Closed;1-371498622;1.0000000106896034;6
Accepted-In Progress;1-371631962;0.0;1
Completed-Closed;1-371631962;868.9999999949986;2
Accepted-In Progress;1-371672096;0.0;1
Queued-Awaiting Assignment;1-371672096;747.99999999737;2
Accepted-In Progress;1-371672096;70733845.0;3
Accepted-Assigned;1-371672096;8.000000016137932;4
Accepted-In Progress;1-371672096;62999898.000000015;5
Completed-Closed;1-371672096;2665866.00000001;6
Accepted-In Progress;1-372579132;11679.000000000337;1
Queued-Awaiting Assignment;1-372579132;132.9999999866841;2
Accepted-In Progress;1-372579132;10269419.000000002;3
Accepted-Assigned;1-372579132;323.0000000116202;4
Accepted-In Progress;1-372579132;0.0;5
Completed-Closed;1-372579132;92.99999998621195;6
Accepted-In Progress;1-372858362;275.0000000219029;1
Queued-Awaiting Assignment;1-372858362;447.9999999759621;2
Accepted-In Progress;1-372858362;34984624.99999999;3
Accepted-Assigned;1-372858362;0.0;4
Accepted-In Progress;1-372858362;4.480369396441198e-10;5
Completed-Closed;1-372858362;99.99999998553274;6
Accepted-In Progress;1-373110819;1.2413727929220425e-08;1
Queued-Awaiting Assignment;1-373110819;88.99999997278195;2
Accepted-In Progress;1-373110819;0.0;3
Accepted-Assigned;1-373110819;161.9999999990832;4
Accepted-In Progress;1-373110819;1.1291758721509947e-08;5
Completed-Closed;1-373110819;1216185.0000000012;6
Accepted-In Progress;1-373268674;2.294531189361385e-08;1
Queued-Awaiting Assignment;1-373268674;913.9999999845373;2
Accepted-In Progress;1-373268674;868797.999999967;3
Accepted-Assigned;1-373268674;9.000000013592029;4
Accepted-In Progress;1-373268674;0.0;5
Completed-Closed;1-373268674;2.000000010085767;6
Accepted-In Progress;1-373413519;0.0;1
Queued-Awaiting Assignment;1-373413519;1133.9999999973404;2
Accepted-In Progress;1-373413519;1.2112631869096174e-08;3
Accepted-Assigned;1-373413519;331.0000000136083;4
Accepted-In Progress;1-373413519;2.3593978359775003e-08;5
Completed-Closed;1-373413519;12602775.999999989;6
Accepted-In Progress;1-373413971;3.2852808183266234e-08;1
Queued-Awaiting Assignment;1-373413971;53.99999998262352;2
Accepted-In Progress;1-373413971;0.0;3
Accepted-Assigned;1-373413971;577272.9999999948;4
Accepted-In Progress;1-373413971;18453030.0;5
Completed-Closed;1-373413971;39.00000000255955;6
Accepted-In Progress;1-374379174;2164227.000000022;1
Queued-Awaiting Assignment;1-374379174;532.999999987701;2
Accepted-In Progress;1-374379174;0.0;3
Accepted-Wait;1-374379174;836432.9999999925;4
Accepted-In Progress;1-374379174;0.0;5
Completed-Closed;1-374379174;334860.99999998714;6
Accepted-In Progress;1-374630866;7.003272965721467e-09;1
Queued-Awaiting Assignment;1-374630866;95385.99999994469;2
Accepted-In Progress;1-374630866;1051862.9999999912;3
Accepted-Assigned;1-374630866;7857996.999999997;4
Accepted-In Progress;1-374630866;19283422.999999978;5
Completed-Closed;1-374630866;124.999999969544;6
Accepted-In Progress;1-375337251;140.00000000129359;1
Queued-Awaiting Assignment;1-375337251;22.999999961497505;2
Accepted-In Progress;1-375337251;0.0;3
Accepted-Assigned;1-375337251;76278.00000000303;4
Accepted-In Progress;1-375337251;0.0;5
Completed-Closed;1-375337251;947009.000000007;6
Accepted-In Progress;1-375430388;60.99999998575524;1
Queued-Awaiting Assignment;1-375430388;631.9999999668107;2
Accepted-In Progress;1-375430388;18870.999999992084;3
Accepted-Assigned;1-375430388;121.00000000022888;4
Accepted-In Progress;1-375430388;32486832.999999993;5
Completed-Closed;1-375430388;1788924.9999999905;6
Accepted-In Progress;1-375646314;0.0;1
Queued-Awaiting Assignment;1-375646314;1427.0000000114246;2
Accepted-In Progress;1-375646314;1.0021574519665553e-08;3
Accepted-Assigned;1-375646314;39.9999999990139;4
Accepted-In Progress;1-375646314;1.0064685791970788e-09;5
Completed-Closed;1-375646314;185.99999999220188;6
Accepted-In Progress;1-375670011;4649127.999999998;1
Completed-Closed;1-375670011;30.000000006187765;2
Accepted-Assigned;1-376424233;7.999999938839819;1
Accepted-In Progress;1-376424233;1.77827298619719e-08;2
Completed-Closed;1-376424233;54.99999998588022;3
Accepted-In Progress;1-377276064;1.4946172741323757e-08;1
Queued-Awaiting Assignment;1-377276064;9.999999984326028;2
Accepted-In Progress;1-377276064;33116.00000001935;3
Accepted-Assigned;1-377276064;193.9999999835622;4
Accepted-In Progress;1-377276064;7.174737865634883e-09;5
Completed-Closed;1-377276064;5256538.9999999665;6
Accepted-In Progress;1-377458451;0.0;1
Queued-Awaiting Assignment;1-377458451;627.9999999446864;2
Accepted-In Progress;1-377458451;6568639.000000001;3
Accepted-Assigned;1-377458451;409.9999999800274;4
Accepted-In Progress;1-377458451;48566.00000000511;5
Completed-Closed;1-377458451;4226069.000000019;6
Accepted-In Progress;1-378054711;0.0;1
Queued-Awaiting Assignment;1-378054711;215.00000001106255;2
Accepted-In Progress;1-378054711;0.0;3
Accepted-Assigned;1-378054711;7.999999976126016;4
Accepted-In Progress;1-378054711;42.99999995756479;5
Completed-Closed;1-378054711;9045984.99999998;6
Accepted-In Progress;1-379209685;268364.00000001315;1
Accepted-In Progress;1-379209685;1.3882814708219321e-08;2
Completed-Closed;1-379209685;43.00000001350784;3
Accepted-In Progress;1-379702919;4228978.999999993;1
Queued-Awaiting Assignment;1-379702919;653.0000000402041;2
Accepted-In Progress;1-379702919;75437.00000000336;3
Accepted-Assigned;1-379702919;7.000000017012428;4
Completed-Closed;1-379702919;8365022.000000013;5
Accepted-In Progress;1-379789104;0.0;1
Accepted-Wait;1-379789104;9926611.000000007;2
Accepted-In Progress;1-379789104;34235690.0;3
Accepted-Wait;1-379789104;15.999999993169206;4
Accepted-In Progress;1-379789104;1230280.9999999627;5
Accepted-Wait;1-379789104;6.000000016289056;6
Completed-Closed;1-379789104;6481136.000000005;7
Accepted-In Progress;1-380297615;2.1636940733585685e-09;1
Accepted-Assigned;1-380297615;8.000000016625393;2
Accepted-In Progress;1-380297615;259.0000000186144;3
Accepted-Wait;1-380297615;12.999999997141026;4
Completed-Closed;1-380297615;34020.99999999638;5
Accepted-In Progress;1-380392616;5.316153056894039e-09;1
Queued-Awaiting Assignment;1-380392616;95385.99999999965;2
Accepted-In Progress;1-380392616;1391765.9999999905;3
Accepted-Assigned;1-380392616;7007557.99999998;4
Queued-Awaiting Assignment;1-380392616;0.0;5
Accepted-Assigned;1-380392616;612347.0000000081;6
Accepted-Wait;1-380392616;53.99999996967916;7
Queued-Awaiting Assignment;1-380392616;105043.00000000598;8
Accepted-In Progress;1-380392616;1.2002895954561237e-08;9
Accepted-Assigned;1-380392616;13.000000036292574;10
Accepted-In Progress;1-380392616;7.218247582141359e-10;11
Completed-Closed;1-380392616;1570407.9999999742;12
Accepted-In Progress;1-380632889;3.7173700113674485e-09;1
Queued-Awaiting Assignment;1-380632889;193.99999999069962;2
Accepted-In Progress;1-380632889;1.6769377325921315e-08;3
Accepted-Wait;1-380632889;20039.999999992677;4
Accepted-Assigned;1-380632889;5.999999983485098;5
Accepted-In Progress;1-380632889;1.653029098429146e-08;6
Completed-Closed;1-380632889;189.0000000130797;7
Accepted-In Progress;1-380654568;11848.999999986912;1
Queued-Awaiting Assignment;1-380654568;593535.0000000148;2
Accepted-In Progress;1-380654568;18339592.999999996;3
Accepted-Assigned;1-380654568;423.00000001945284;4
Accepted-In Progress;1-380654568;70014.00000000499;5
Completed-Closed;1-380654568;1104956.0000000065;6
Accepted-In Progress;1-381124870;157948.9999999945;1
Accepted-Assigned;1-381124870;1189.9999999905865;2
Accepted-In Progress;1-381124870;1.3577533433403897e-08;3
Accepted-Wait;1-381124870;6158.000000003759;4
Completed-Closed;1-381124870;4835957.999999996;5
Accepted-In Progress;1-382209384;5.1276267939481e-09;1
Accepted-In Progress;1-382209384;12.999999992979447;2
Accepted-Assigned;1-382209384;63785.99999997565;3
Accepted-In Progress;1-382209384;1.978124326564623e-09;4
Completed-Closed;1-382209384;18574293.999999985;5
Accepted-In Progress;1-382442048;2.3392699109485172e-08;1
Queued-Awaiting Assignment;1-382442048;1503.9999999944844;2
Accepted-In Progress;1-382442048;0.0;3
Accepted-Wait;1-382442048;5.999999982178595;4
Accepted-Assigned;1-382442048;167.99999999509433;5
Accepted-In Progress;1-382442048;0.0;6
Completed-Closed;1-382442048;865170.0000000009;7
Accepted-In Progress;1-383789251;17543661.999999996;1
Completed-Closed;1-383789251;6740782.999999989;2
Accepted-In Progress;1-385278464;430307.9999999976;1
Completed-Closed;1-385278464;124.99999996057315;2
Accepted-In Progress;1-385311756;0.0;1
Queued-Awaiting Assignment;1-385311756;2956389.9999999856;2
Accepted-In Progress;1-385311756;0.0;3
Accepted-Assigned;1-385311756;5.000000007705375;4
Accepted-In Progress;1-385311756;1.5930252508467653e-08;5
Completed-Closed;1-385311756;7163.000000024078;6
Accepted-In Progress;1-386495623;2.6250700266688547e-08;1
Accepted-Wait;1-386495623;59.0000000048278;2
Completed-Closed;1-386495623;494.9999999977975;3
Accepted-In Progress;1-388028918;0.0;1
Queued-Awaiting Assignment;1-388028918;255205.00000007058;2
Accepted-In Progress;1-388028918;4485531.000000003;3
Accepted-Assigned;1-388028918;10.000000045386223;4
Queued-Awaiting Assignment;1-388028918;312.00000000608327;5
Accepted-Assigned;1-388028918;9.999999967812874;6
Accepted-Wait;1-388028918;358.00000000420334;7
Queued-Awaiting Assignment;1-388028918;430.0000000061866;8
Accepted-In Progress;1-388028918;1.7970578670769848e-08;9
Accepted-Assigned;1-388028918;1475191.9999999604;10
Accepted-In Progress;1-388028918;130.00000005418048;11
Completed-Closed;1-388028918;282.000000002697;12
Accepted-In Progress;1-388644366;0.0;1
Queued-Awaiting Assignment;1-388644366;150.99999998531132;2
Accepted-In Progress;1-388644366;0.0;3
Accepted-Assigned;1-388644366;20.999999981157803;4
Accepted-In Progress;1-388644366;1.624742093974782e-08;5
Completed-Closed;1-388644366;147.00000001418937;6
Accepted-In Progress;1-388724672;252337.9999999896;1
Queued-Awaiting Assignment;1-388724672;111.99999997400134;2
Accepted-In Progress;1-388724672;140096.99999998763;3
Accepted-Assigned;1-388724672;1475192.0000000095;4
Accepted-In Progress;1-388724672;2337.0000000046284;5
Completed-Closed;1-388724672;38.00000000812312;6
Accepted-In Progress;1-390722958;0.0;1
Accepted-Assigned;1-390722958;35601632.999999985;2
Accepted-In Progress;1-390722958;0.0;3
Completed-Closed;1-390722958;168536.00000001356;4
Accepted-In Progress;1-390819078;2322481.000000001;1
Queued-Awaiting Assignment;1-390819078;762.0000000032303;2
Accepted-In Progress;1-390819078;16353747.99999997;3
Accepted-Assigned;1-390819078;29.000000022134856;4
Queued-Awaiting Assignment;1-390819078;146.9999999986062;5
Accepted-Assigned;1-390819078;198684.00000001548;6
Accepted-Wait;1-390819078;29.000000046374584;7
Queued-Awaiting Assignment;1-390819078;65.0000000026032;8
Accepted-In Progress;1-390819078;7.328232308915677e-10;9
Accepted-Assigned;1-390819078;1113830.0000000098;10
Accepted-In Progress;1-390819078;6.86429159740276e-09;11
Completed-Closed;1-390819078;3034704.999999999;12
Accepted-In Progress;1-392590655;5284.0000000140735;1
Completed-Closed;1-392590655;2444595.0000000014;2
Accepted-In Progress;1-392812598;244680.0000000074;1
Queued-Awaiting Assignment;1-392812598;161.99999997632668;2
Accepted-In Progress;1-392812598;926.000000003886;3
Accepted-Assigned;1-392812598;5224.000000002457;4
Accepted-In Progress;1-392812598;2.993330312269299e-09;5
Completed-Closed;1-392812598;88.00000000436367;6
Accepted-In Progress;1-393413330;594.0000000102247;1
Queued-Awaiting Assignment;1-393413330;595096.0000000278;2
Accepted-In Progress;1-393413330;13931.00000005543;3
Accepted-Assigned;1-393413330;11.999999999887068;4
Accepted-In Progress;1-393413330;515779.00000000297;5
Completed-Closed;1-393413330;9052738.000000024;6
Accepted-In Progress;1-396569277;20937644.000000004;1
Queued-Awaiting Assignment;1-396569277;186.00000002829208;2
Accepted-In Progress;1-396569277;5.4843840533634004e-09;3
Accepted-Assigned;1-396569277;94.99999998535871;4
Accepted-In Progress;1-396569277;2.6427098811922184e-10;5
Completed-Closed;1-396569277;70.99999999963308;6
Accepted-In Progress;1-397446945;598594.0000000091;1
Queued-Awaiting Assignment;1-397446945;86881.00000002552;2
Accepted-In Progress;1-397446945;1.528126032663429e-10;3
Accepted-Assigned;1-397446945;194.00000002203123;4
Accepted-In Progress;1-397446945;30075714.999999985;5
Completed-Closed;1-397446945;3283006.9999999925;6
Accepted-In Progress;1-397806545;1.0115848399720323e-08;1
Accepted-Wait;1-397806545;329.00000000061425;2
Accepted-In Progress;1-397806545;25747654.99999999;3
Accepted-Wait;1-397806545;9744995.00000002;4
Accepted-In Progress;1-397806545;54412270.999999985;5
Accepted-Wait;1-397806545;1263.0000000001216;6
Completed-Closed;1-397806545;17095171.99999998;7
Queued-Awaiting Assignment;1-399013423;54.00000001540027;1
Accepted-In Progress;1-399013423;1.3437754466917969e-08;2
Completed-Closed;1-399013423;76608.99999998791;3
Accepted-In Progress;1-400351079;0.0;1
Accepted-In Progress;1-400351079;0.0;2
Completed-Closed;1-400351079;40.99999999474712;3
Accepted-In Progress;1-400528782;0.0;1
Completed-Closed;1-400528782;8363772.000000005;2
Accepted-In Progress;1-400528782;57643223.00000002;3
Accepted-In Progress;1-400528782;2427.9999999872643;4
Completed-Closed;1-400528782;14819.999999944737;5
Accepted-In Progress;1-402212071;12221.000000003165;1
Accepted-Wait;1-402212071;64.99999997727552;2
Completed-Closed;1-402212071;27232352.999999993;3
Accepted-In Progress;1-402328919;0.0;1
Completed-Closed;1-402328919;69.00000000041545;2
Accepted-In Progress;1-403006315;3.4418410370639806e-09;1
Queued-Awaiting Assignment;1-403006315;129.00000000655066;2
Accepted-In Progress;1-403006315;0.0;3
Accepted-Assigned;1-403006315;6.999999968123858;4
Queued-Awaiting Assignment;1-403006315;47.99999997705574;5
Accepted-Assigned;1-403006315;220.99999999020346;6
Accepted-Wait;1-403006315;5378171.999999997;7
Queued-Awaiting Assignment;1-403006315;305.9999999819322;8
Accepted-In Progress;1-403006315;1.58018100528676e-08;9
Accepted-Assigned;1-403006315;68.999999991517;10
Accepted-In Progress;1-403006315;0.0;11
Completed-Closed;1-403006315;147.00000000781816;12
Accepted-In Progress;1-404005175;801144.9999999966;1
Accepted-Wait;1-404005175;243.9999999938007;2
Completed-Closed;1-404005175;1.999999985580823;3
Accepted-In Progress;1-404084309;5.943681003628239e-09;1
Accepted-Wait;1-404084309;24986882.0;2
Accepted-Wait;1-404084309;154.99999999115911;3
Completed-Closed;1-404084309;410022.9999999774;4
Accepted-In Progress;1-405112616;3.957708937475565e-09;1
Accepted-Assigned;1-405112616;322.99999998039755;2
Accepted-Assigned;1-405112616;6.000000005229244;3
Accepted-In Progress;1-405112616;54085217.00000001;4
Completed-Closed;1-405112616;1821006.0000000088;5
Accepted-In Progress;1-406852699;5283.999999998571;1
Accepted-In Progress;1-406852699;8.385891301227865e-09;2
Completed-Closed;1-406852699;4.000000035676324;3
Accepted-In Progress;1-406875315;25086.999999992484;1
Queued-Awaiting Assignment;1-406875315;233.00000001048232;2
Accepted-In Progress;1-406875315;7435680.00000001;3
Accepted-Wait;1-406875315;18187.0000000021;4
Completed-Closed;1-406875315;185.99999999224383;5
Accepted-In Progress;1-407517548;0.0;1
Accepted-In Progress;1-407517548;1.9257656411394432e-08;2
Completed-Closed;1-407517548;2310819.0000000005;3
Accepted-In Progress;1-407876996;2402024.000000004;1
Queued-Awaiting Assignment;1-407876996;316.0000000201476;2
Accepted-In Progress;1-407876996;2.4961209138807688e-08;3
Completed-Closed;1-407876996;27.000000015605828;4
Accepted-In Progress;1-408853759;0.0;1
Queued-Awaiting Assignment;1-408853759;2319598.0000000484;2
Accepted-In Progress;1-408853759;1.0736685091326455e-08;3
Accepted-Assigned;1-408853759;7.999999989232284;4
Accepted-In Progress;1-408853759;0.0;5
Completed-Closed;1-408853759;1362409.0000000093;6
