Activity;Case ID;Duration;Event_Nr
Completed-Closed;1-364458525;630163.0000000176;4
Accepted-In Progress;1-364528467;0.0;1
Accepted-In Progress;1-364528467;38035107.99999999;2
Queued-Awaiting Assignment;1-364528467;1819704.999999999;3
Accepted-In Progress;1-364528467;3037379.9999999944;4
Accepted-Assigned;1-364528467;27567090.0;5
Accepted-In Progress;1-364528467;274.99999999758126;6
Completed-Closed;1-364528467;2.0000000358839016;7
Accepted-In Progress;1-365702595;0.0;1
Queued-Awaiting Assignment;1-365702595;1238.000000016882;2
Accepted-In Progress;1-365702595;0.0;3
Accepted-Assigned;1-365702595;62.000000007634135;4
Accepted-In Progress;1-365702595;1.0078217492566015e-09;5
Completed-Closed;1-365702595;171.00000000237614;6
Accepted-In Progress;1-366462246;4664241.0;1
Accepted-In Progress;1-366462246;434008.0000000025;2
Completed-Closed;1-366462246;1824101.0000000007;3
Accepted-In Progress;1-366509892;1.8066611874961894e-08;1
Queued-Awaiting Assignment;1-366509892;2806.999999999755;2
Accepted-In Progress;1-366509892;150616.00000000387;3
Accepted-Assigned;1-366509892;113.99999997587813;4
Accepted-In Progress;1-366509892;0.0;5
Completed-Closed;1-366509892;9150219.999999996;6
Accepted-In Progress;1-366584206;454.0000000070407;1
Queued-Awaiting Assignment;1-366584206;617.9999999608531;2
Accepted-In Progress;1-366584206;0.0;3
Accepted-Assigned;1-366584206;28.000000023158258;4
Accepted-In Progress;1-366584206;0.0;5
Completed-Closed;1-366584206;1824100.999999992;6
Accepted-In Progress;1-366923538;0.0;1
Accepted-In Progress;1-366923538;0.0;2
Queued-Awaiting Assignment;1-366923538;58.00000002557823;3
Accepted-In Progress;1-366923538;0.0;4
Accepted-Assigned;1-366923538;8.000000007568289;5
Accepted-In Progress;1-366923538;9.834990097329054e-09;6
Completed-Closed;1-366923538;862918.999999986;7
Accepted-In Progress;1-367002597;2.251802935446089e-09;1
Accepted-In Progress;1-367002597;3.2549110746918407e-09;2
Accepted-In Progress;1-367002597;1.0947288660562649e-08;3
Completed-Closed;1-367002597;203.00000000846967;4
Accepted-In Progress;1-367648732;19890918.999999996;1
Queued-Awaiting Assignment;1-367648732;7358.99999997166;2
Accepted-In Progress;1-367648732;594.0000000028856;3
Accepted-Assigned;1-367648732;63786.00000000563;4
Accepted-In Progress;1-367648732;11410.999999999762;5
Completed-Closed;1-367648732;126.99999999171665;6
Accepted-In Progress;1-368929048;24125649.999999993;1
Queued-Awaiting Assignment;1-368929048;53.999999999932434;2
Accepted-In Progress;1-368929048;1997394.9999999888;3
Accepted-Assigned;1-368929048;98.00000000324239;4
Accepted-In Progress;1-368929048;8265.999999985708;5
Completed-Closed;1-368929048;342276.000000012;6
Accepted-In Progress;1-369693874;0.0;1
Queued-Awaiting Assignment;1-369693874;881.0000000050612;2
Accepted-In Progress;1-369693874;0.0;3
Accepted-Assigned;1-369693874;23.999999986048994;4
Accepted-In Progress;1-369693874;0.0;5
Completed-Closed;1-369693874;22807009.000000007;6
Accepted-In Progress;1-369989135;12126211.999999983;1
Accepted-Assigned;1-369989135;11.999999983595998;2
Accepted-In Progress;1-369989135;11257.000000002961;3
Accepted-Assigned;1-369989135;16.99999999676768;4
Accepted-In Progress;1-369989135;5181868.999999996;5
Completed-Closed;1-369989135;2.0000000010305166;6
Accepted-In Progress;1-370436092;1.0603023527560088e-08;1
Queued-Awaiting Assignment;1-370436092;97.99999998612938;2
Accepted-In Progress;1-370436092;180271.00000000224;3
Accepted-In Progress;1-370436092;2.807973706981923e-08;4
Accepted-Assigned;1-370436092;6.000000033616748;5
Accepted-In Progress;1-370436092;0.0;6
Completed-Closed;1-370436092;45072264.0;7
Accepted-In Progress;1-371498622;1.7406864796219016e-10;1
Queued-Awaiting Assignment;1-371498622;14065.000000006356;2
Accepted-In Progress;1-371498622;18870.99999997953;3
Accepted-Assigned;1-371498622;152.99999996641714;4
Accepted-In Progress;1-371498622;3.116352032322009e-08;5
Completed-Closed;1-371498622;2840450.0;6
Accepted-In Progress;1-371631962;229488.0000000225;1
Completed-Closed;1-371631962;6278.000000007348;2
Accepted-In Progress;1-371672096;138.00000000520902;1
Queued-Awaiting Assignment;1-371672096;227.0000000183559;2
Accepted-In Progress;1-371672096;4.033505162094741e-09;3
Accepted-Assigned;1-371672096;7.0000000010051595;4
Accepted-In Progress;1-371672096;1.018155685193486e-09;5
Completed-Closed;1-371672096;1821739.0000000033;6
Accepted-In Progress;1-372579132;5783254.999999993;1
Queued-Awaiting Assignment;1-372579132;658.9999999923062;2
Accepted-In Progress;1-372579132;47437496.99999999;3
Accepted-Assigned;1-372579132;431.0000000005341;4
Accepted-In Progress;1-372579132;4.685273315717402e-09;5
Completed-Closed;1-372579132;3043297.9999999884;6
Accepted-In Progress;1-372858362;0.0;1
Queued-Awaiting Assignment;1-372858362;55.00000001256833;2
Accepted-In Progress;1-372858362;13310.999999957323;3
Accepted-Assigned;1-372858362;9.999999996260552;4
Accepted-In Progress;1-372858362;14427324.0;5
Completed-Closed;1-372858362;14426850.000000052;6
Accepted-In Progress;1-373110819;0.0;1
Queued-Awaiting Assignment;1-373110819;313.99999995119293;2
Accepted-In Progress;1-373110819;0.0;3
Accepted-Assigned;1-373110819;4.999999961060603;4
Accepted-In Progress;1-373110819;36544694.0;5
Completed-Closed;1-373110819;10219281.000000004;6
Accepted-In Progress;1-373268674;0.0;1
Queued-Awaiting Assignment;1-373268674;256.9999999827751;2
Accepted-In Progress;1-373268674;0.0;3
Accepted-Assigned;1-373268674;3164.999999992471;4
Accepted-In Progress;1-373268674;0.0;5
Completed-Closed;1-373268674;361.999999992075;6
Accepted-In Progress;1-373413519;0.0;1
Queued-Awaiting Assignment;1-373413519;618.0000000390543;2
Accepted-In Progress;1-373413519;0.0;3
Accepted-Assigned;1-373413519;28.999999996748343;4
Accepted-In Progress;1-373413519;43117.00000001771;5
Completed-Closed;1-373413519;1144036.0000000237;6
Accepted-In Progress;1-373413971;1.4218480829911415e-08;1
Queued-Awaiting Assignment;1-373413971;2319598.000000001;2
Accepted-In Progress;1-373413971;745696.000000003;3
Accepted-Assigned;1-373413971;6.999999991562841;4
Accepted-In Progress;1-373413971;0.0;5
Completed-Closed;1-373413971;5899.999999996481;6
Accepted-In Progress;1-374379174;2618511.9999999655;1
Queued-Awaiting Assignment;1-374379174;274.00000000818034;2
Accepted-In Progress;1-374379174;47872911.99999998;3
Accepted-Wait;1-374379174;4564.999999990486;4
Accepted-In Progress;1-374379174;4.141734187004966e-09;5
Completed-Closed;1-374379174;69.00000000751254;6
Accepted-In Progress;1-374630866;0.0;1
Queued-Awaiting Assignment;1-374630866;219.99999998911738;2
Accepted-In Progress;1-374630866;4.043970453583663e-09;3
Accepted-Assigned;1-374630866;126.99999999954005;4
Accepted-In Progress;1-374630866;2.566605963902842e-09;5
Completed-Closed;1-374630866;87.0000000051238;6
Accepted-In Progress;1-375337251;20943.999999994034;1
Queued-Awaiting Assignment;1-375337251;476.999999995555;2
Accepted-In Progress;1-375337251;1.583845619520392e-08;3
Accepted-Assigned;1-375337251;94.99999999899364;4
Accepted-In Progress;1-375337251;2.4118471042020414e-08;5
Completed-Closed;1-375337251;432518.0000000018;6
Accepted-In Progress;1-375430388;229488.00000001263;1
Queued-Awaiting Assignment;1-375430388;0.0;2
Accepted-In Progress;1-375430388;51.00000002176975;3
Accepted-Assigned;1-375430388;208.00000005160962;4
Accepted-In Progress;1-375430388;7.588009189019195e-09;5
Completed-Closed;1-375430388;7529984.999999991;6
Accepted-In Progress;1-375646314;1.762385989899029e-08;1
Queued-Awaiting Assignment;1-375646314;0.0;2
Accepted-In Progress;1-375646314;3587046.0000000047;3
Accepted-Assigned;1-375646314;372.99999993834734;4
Accepted-In Progress;1-375646314;5537447.999999984;5
Completed-Closed;1-375646314;10219281.00000001;6
Accepted-In Progress;1-375670011;3727551.000000004;1
Completed-Closed;1-375670011;2844354.0000000037;2
Accepted-Assigned;1-376424233;8.000000001895827;1
Accepted-In Progress;1-376424233;4.105167375591037e-09;2
Completed-Closed;1-376424233;85.00000000048892;3
Accepted-In Progress;1-377276064;0.0;1
Queued-Awaiting Assignment;1-377276064;1819705.000000005;2
Accepted-In Progress;1-377276064;5181815.999999986;3
Accepted-Assigned;1-377276064;330.99999998861665;4
Accepted-In Progress;1-377276064;0.0;5
Completed-Closed;1-377276064;25.999999995980843;6
Accepted-In Progress;1-377458451;432642.0000000004;1
Queued-Awaiting Assignment;1-377458451;975.0000000516183;2
Accepted-In Progress;1-377458451;0.0;3
Accepted-Assigned;1-377458451;612347.0000000141;4
Accepted-In Progress;1-377458451;0.0;5
Completed-Closed;1-377458451;2.0000000001114784;6
Accepted-In Progress;1-378054711;1.7800060108517722e-09;1
Queued-Awaiting Assignment;1-378054711;482.00000001521573;2
Accepted-In Progress;1-378054711;0.0;3
Accepted-Assigned;1-378054711;34378849.99999999;4
Accepted-In Progress;1-378054711;5.543895143803844e-09;5
Completed-Closed;1-378054711;1390930.0;6
Accepted-In Progress;1-379209685;1.60229522941141e-08;1
Accepted-In Progress;1-379209685;2.3440780473655367e-09;2
Completed-Closed;1-379209685;6723796.999999993;3
Accepted-In Progress;1-379702919;0.0;1
Queued-Awaiting Assignment;1-379702919;659.0000000035727;2
Accepted-In Progress;1-379702919;1.0391463606131036e-09;3
Accepted-Assigned;1-379702919;9.000000008873648;4
Completed-Closed;1-379702919;48.99999999980688;5
Accepted-In Progress;1-379789104;11848.999999989015;1
Accepted-Wait;1-379789104;465.000000000991;2
Accepted-In Progress;1-379789104;1.1143268039553623e-08;3
Accepted-Wait;1-379789104;357.9999999998226;4
Accepted-In Progress;1-379789104;23989946.99999999;5
Accepted-Wait;1-379789104;2083565.999999987;6
Completed-Closed;1-379789104;109.9999999978321;7
Accepted-In Progress;1-380297615;2.8886481106125677e-08;1
Accepted-Assigned;1-380297615;79.99999999557745;2
Accepted-In Progress;1-380297615;6.798297267865446e-10;3
Accepted-Wait;1-380297615;1013.000000003363;4
Completed-Closed;1-380297615;16861856.000000004;5
Accepted-In Progress;1-380392616;8266.000000048189;1
Queued-Awaiting Assignment;1-380392616;600.0000000111544;2
Accepted-In Progress;1-380392616;0.0;3
Accepted-Assigned;1-380392616;15.000000001899664;4
Queued-Awaiting Assignment;1-380392616;1587.999999988347;5
Accepted-Assigned;1-380392616;39.99999999994416;6
Accepted-Wait;1-380392616;1039387.0000000633;7
Queued-Awaiting Assignment;1-380392616;585.0000000149223;8
Accepted-In Progress;1-380392616;11558061.0;9
Accepted-Assigned;1-380392616;3165.0000000017;10
Accepted-In Progress;1-380392616;0.0;11
Completed-Closed;1-380392616;1210602.9999999958;12
Accepted-In Progress;1-380632889;0.0;1
Queued-Awaiting Assignment;1-380632889;3419.000000003493;2
Accepted-In Progress;1-380632889;1.3253217113376641e-08;3
Accepted-Wait;1-380632889;1263.0000000053149;4
Accepted-Assigned;1-380632889;4.99999997421884;5
Accepted-In Progress;1-380632889;0.0;6
Completed-Closed;1-380632889;1994472.999999988;7
Accepted-In Progress;1-380654568;964.9999999920368;1
Queued-Awaiting Assignment;1-380654568;393.99999999098463;2
Accepted-In Progress;1-380654568;1.1974036376590103e-09;3
Accepted-Assigned;1-380654568;6.999999991091159;4
Accepted-In Progress;1-380654568;0.0;5
Completed-Closed;1-380654568;1795.000000003073;6
Accepted-In Progress;1-381124870;1.601190781941125e-10;1
Accepted-Assigned;1-381124870;35.00000000284229;2
Accepted-In Progress;1-381124870;78.99999999794008;3
Accepted-Wait;1-381124870;24550426.000000007;4
Completed-Closed;1-381124870;36796285.0;5
Accepted-In Progress;1-382209384;1.357342388954366e-08;1
Accepted-In Progress;1-382209384;2.659983496049825e-09;2
Accepted-Assigned;1-382209384;7.999999991858051;3
Accepted-In Progress;1-382209384;1051862.9999999993;4
Completed-Closed;1-382209384;3019556.999999991;5
Accepted-In Progress;1-382442048;3.6610205957450193e-09;1
Queued-Awaiting Assignment;1-382442048;53.00000001084884;2
Accepted-In Progress;1-382442048;4.952102596202849e-09;3
Accepted-Wait;1-382442048;9744995.000000041;4
Accepted-Assigned;1-382442048;8.000000001192952;5
Accepted-In Progress;1-382442048;1.1556349236452723e-08;6
Completed-Closed;1-382442048;772427.0000000005;7
Accepted-In Progress;1-383789251;13336241.000000006;1
Completed-Closed;1-383789251;15.000000004314522;2
Accepted-In Progress;1-385278464;0.0;1
Completed-Closed;1-385278464;75.99999999254919;2
Accepted-In Progress;1-385311756;4678.999999999514;1
Queued-Awaiting Assignment;1-385311756;9081667.000000043;2
Accepted-In Progress;1-385311756;9.65948207139504e-09;3
Accepted-Assigned;1-385311756;76277.99999998331;4
Accepted-In Progress;1-385311756;54420371.000000015;5
Completed-Closed;1-385311756;185.00000001487874;6
Accepted-In Progress;1-386495623;0.0;1
Accepted-Wait;1-386495623;1203.9999999944537;2
Completed-Closed;1-386495623;1743812.0000000084;3
Accepted-In Progress;1-388028918;0.0;1
Queued-Awaiting Assignment;1-388028918;183.00000005115666;2
Accepted-In Progress;1-388028918;1.1750183942350229e-09;3
Accepted-Assigned;1-388028918;139.99999999589525;4
Queued-Awaiting Assignment;1-388028918;1650.999999992543;5
Accepted-Assigned;1-388028918;1113829.9999999886;6
Accepted-Wait;1-388028918;24.00000002059909;7
Queued-Awaiting Assignment;1-388028918;643700.9999999872;8
Accepted-In Progress;1-388028918;1.9210682903904813e-09;9
Accepted-Assigned;1-388028918;12.999999991160868;10
Accepted-In Progress;1-388028918;0.0;11
Completed-Closed;1-388028918;146585.99999999828;12
Accepted-In Progress;1-388644366;5.352692257834957e-09;1
Queued-Awaiting Assignment;1-388644366;7781.999999986221;2
Accepted-In Progress;1-388644366;15522.999999991358;3
Accepted-Assigned;1-388644366;74.00000001879842;4
Accepted-In Progress;1-388644366;0.0;5
Completed-Closed;1-388644366;13313013.999999998;6
Accepted-In Progress;1-388724672;0.0;1
Queued-Awaiting Assignment;1-388724672;510.000000008334;2
Accepted-In Progress;1-388724672;5446224.999999999;3
Accepted-Assigned;1-388724672;4.999999984997483;4
Accepted-In Progress;1-388724672;1.0660347809710451e-08;5
Completed-Closed;1-388724672;432517.99999999796;6
Accepted-In Progress;1-390722958;2.3553936998242152e-08;1
Accepted-Assigned;1-390722958;5.999999997769383;2
Accepted-In Progress;1-390722958;1042056.9999999974;3
Completed-Closed;1-390722958;129.99999996876792;4
Accepted-In Progress;1-390819078;434007.99999999243;1
Queued-Awaiting Assignment;1-390819078;11863.000000003178;2
Accepted-In Progress;1-390819078;2736.9999999958777;3
Accepted-Assigned;1-390819078;17.00000000669515;4
Queued-Awaiting Assignment;1-390819078;45.00000001206121;5
Accepted-Assigned;1-390819078;58.99999999952659;6
Accepted-Wait;1-390819078;716.0000000039804;7
Queued-Awaiting Assignment;1-390819078;151.00000003924626;8
Accepted-In Progress;1-390819078;3036788.9999999995;9
Accepted-Assigned;1-390819078;104.99999996611575;10
Accepted-In Progress;1-390819078;2.1383539296891287e-09;11
Completed-Closed;1-390819078;42.999999985494426;12
Accepted-In Progress;1-392590655;229488.00000000026;1
Completed-Closed;1-392590655;12635962.000000013;2
Accepted-In Progress;1-392812598;0.0;1
Queued-Awaiting Assignment;1-392812598;707.9999999894129;2
Accepted-In Progress;1-392812598;6.3811413607404445e-09;3
Accepted-Assigned;1-392812598;6.000000003602068;4
Accepted-In Progress;1-392812598;0.0;5
Completed-Closed;1-392812598;2937912.9999999944;6
Accepted-In Progress;1-393413330;2.160792016558986e-08;1
Queued-Awaiting Assignment;1-393413330;31.999999976783055;2
Accepted-In Progress;1-393413330;0.0;3
Accepted-Assigned;1-393413330;0.9999999731865045;4
Accepted-In Progress;1-393413330;1.9393659152480063e-11;5
Completed-Closed;1-393413330;3825409.0000000424;6
Accepted-In Progress;1-396569277;11554047.999999993;1
Queued-Awaiting Assignment;1-396569277;215.99999999074635;2
Accepted-In Progress;1-396569277;229487.99999999886;3
Accepted-Assigned;1-396569277;4.000000001813157;4
Accepted-In Progress;1-396569277;2.1846527868211128e-09;5
Completed-Closed;1-396569277;435984.99999998603;6
Accepted-In Progress;1-397446945;4.945626535099826e-10;1
Queued-Awaiting Assignment;1-397446945;8618.999999987618;2
Accepted-In Progress;1-397446945;0.0;3
Accepted-Assigned;1-397446945;6140572.000000002;4
Accepted-In Progress;1-397446945;0.0;5
Completed-Closed;1-397446945;8500893.000000002;6
Accepted-In Progress;1-397806545;8.076130951800261e-11;1
Accepted-Wait;1-397806545;17357999.000000015;2
Accepted-In Progress;1-397806545;13780358.000000002;3
Accepted-Wait;1-397806545;183424.99999999782;4
Accepted-In Progress;1-397806545;52521755.99999999;5
Accepted-Wait;1-397806545;6386522.999999999;6
Completed-Closed;1-397806545;3888510.0000000144;7
Queued-Awaiting Assignment;1-399013423;1038906.000000012;1
Accepted-In Progress;1-399013423;0.0;2
Completed-Closed;1-399013423;75078507.99999999;3
Accepted-In Progress;1-400351079;4576504.000000008;1
Accepted-In Progress;1-400351079;2.4118496709972912e-08;2
Completed-Closed;1-400351079;4460946.000000003;3
Accepted-In Progress;1-400528782;1124.9999999772513;1
Completed-Closed;1-400528782;10871265.000000015;2
Accepted-In Progress;1-400528782;0.0;3
Accepted-In Progress;1-400528782;2.023573092953324e-09;4
Completed-Closed;1-400528782;8468796.000000006;5
Accepted-In Progress;1-402212071;1.7385231266030004e-08;1
Accepted-Wait;1-402212071;2228026.0000000196;2
Completed-Closed;1-402212071;2838543.9999999655;3
Accepted-In Progress;1-402328919;48158.99999997682;1
Completed-Closed;1-402328919;68.99999997674831;2
Accepted-In Progress;1-403006315;4162533.9999999967;1
Queued-Awaiting Assignment;1-403006315;167.99999996129344;2
Accepted-In Progress;1-403006315;336201.99999999785;3
Accepted-Assigned;1-403006315;30656081.000000015;4
Queued-Awaiting Assignment;1-403006315;98.00000001218828;5
Accepted-Assigned;1-403006315;44935490.00000001;6
Accepted-Wait;1-403006315;4271.000000005733;7
Queued-Awaiting Assignment;1-403006315;0.0;8
Accepted-In Progress;1-403006315;4.087509924449961e-09;9
Accepted-Assigned;1-403006315;13.000000001013039;10
Accepted-In Progress;1-403006315;10801517.0;11
Completed-Closed;1-403006315;2069212.000000001;12
Accepted-In Progress;1-404005175;0.0;1
Accepted-Wait;1-404005175;1478406.9999999737;2
Completed-Closed;1-404005175;2069029.000000008;3
Accepted-In Progress;1-404084309;1.8679790975071627e-08;1
Accepted-Wait;1-404084309;524439.9999999887;2
Accepted-Wait;1-404084309;17449675.0;3
Completed-Closed;1-404084309;2925752.0000000014;4
Accepted-In Progress;1-405112616;2.8454213949917456e-08;1
Accepted-Assigned;1-405112616;329.0000000000982;2
Accepted-Assigned;1-405112616;6.000000005783791;3
Accepted-In Progress;1-405112616;2129916.999999982;4
Completed-Closed;1-405112616;935.0000000059683;5
Accepted-In Progress;1-406852699;6.7219722797933044e-09;1
Accepted-In Progress;1-406852699;22537.99999999907;2
Completed-Closed;1-406852699;36023889.0;3
Accepted-In Progress;1-406875315;19077785.0;1
Queued-Awaiting Assignment;1-406875315;10851.999999996882;2
Accepted-In Progress;1-406875315;0.0;3
Accepted-Wait;1-406875315;414.99999998376467;4
Completed-Closed;1-406875315;5975002.000000002;5
Accepted-In Progress;1-407517548;0.0;1
Accepted-In Progress;1-407517548;32479872.000000004;2
Completed-Closed;1-407517548;527.9999999973948;3
Accepted-In Progress;1-407876996;0.0;1
Queued-Awaiting Assignment;1-407876996;24.000000010414418;2
Accepted-In Progress;1-407876996;157948.99999998737;3
Completed-Closed;1-407876996;7083118.000000003;4
Accepted-In Progress;1-408853759;6487400.99999998;1
Queued-Awaiting Assignment;1-408853759;35.999999995632734;2
Accepted-In Progress;1-408853759;4162534.0000000186;3
Accepted-Assigned;1-408853759;7.999999995686712;4
Accepted-In Progress;1-408853759;88246.0000000031;5
Completed-Closed;1-408853759;299245.99999998824;6
Accepted-In Progress;1-409247778;7.621134956515332e-10;1
